epoch,train_loss,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,val_loss,epoch_seconds
1,2.0371522361581977,0.27833633163588867,0.8012841404440749,0.6684521056899321,0.9843364761388367,0.6756388267519938,0.6430032638363309,0.47384289637582255,0.48087504663719544,0.9700621180460989,0.11031193356268137,0.05837573699169066,0.06372924188207742,0.4100006015140617,0.4231230450569757,0.2683297791439053,0.3368088699610763,0.5689206102222159,0.18001837222119493,0.09891219200981616,0.6641902334533597,0.10411911471549144,0.3391141536692957,0.22486515113030867,0.3864008479834272,0.513275611124467,0.23781778361361736,1.8730515946041455,4.9230055809021
2,1.7199131765148856,0.4831221732093037,0.8473500053030748,0.7351320949130571,0.9876440070358674,0.7419558061643753,0.687935354352634,0.5243151369368773,0.5316965178932631,0.974205218143511,0.15473688384819206,0.08385627095331917,0.13328654651147517,0.18441562905483366,0.5001512452525743,0.33346778711484126,0.3470640453974927,0.89487234418395,0.7262073301460347,0.5701142323493595,0.7759841473139472,0.6824315995732254,0.5172577033998588,0.37793835683859933,0.44700781427904457,0.6839811977388801,0.460365153082267,1.5020885277878155,3.6715898513793945
3,1.550372144038027,0.5302562371944698,0.8798930187954583,0.7855437324828011,0.9848877731209829,0.7951277812449292,0.7279808391941076,0.5723033595916062,0.5851774039923267,0.9629814765105719,0.28563575943831504,0.16661322762117978,0.21097960087599715,0.4420613028794959,0.518646429263828,0.35011656873117875,0.4607312267386569,0.5932152427771729,0.7205783222147204,0.5632062788415972,0.5912403787207795,0.9223484606981402,0.5632103375277427,0.4130598586963905,0.4620321525819401,0.7301516207163452,0.5082868369722878,1.3701690408316525,3.799412488937378
4,1.472776396708055,0.4759446591926748,0.886867665174425,0.7967315632003402,0.9735159286878142,0.8143830974830888,0.7681891257302376,0.6236258680421479,0.6597641101781286,0.9192593449766292,0.15677370432575494,0.08505396472135708,0.10491464797743028,0.3100117724901558,0.4980271801502802,0.33158201904087076,0.3441016234959076,0.9011226495581601,0.6756182709228018,0.5101386224903289,0.7616292401465014,0.607062553927606,0.5246520702822686,0.38760011857367616,0.46760240544949194,0.6843640802381378,0.44347305179961233,1.344481032003056,3.960742712020874
5,1.404782079837539,0.526199653744631,0.9079543485980738,0.83142526819504,0.9562458847253301,0.864305889797992,0.7750362857084948,0.6327014234513555,0.7042364508343064,0.8616628552295691,0.2034603662715163,0.11325125393936389,0.14328183241258263,0.35079442826082075,0.5724112416262493,0.40096367967923496,0.44137190456492353,0.8141144899592654,0.7197818093481726,0.5622336993834569,0.7491013394867867,0.6926709426230956,0.5676724257386083,0.4272875141133528,0.5094978818246498,0.6798106790181877,0.4985511390819794,1.2864569506861947,3.946701765060425
6,1.3556387343189933,0.33905257456681065,0.8922531976508034,0.8054667327936345,0.9848993212674323,0.815538289301129,0.7513220334939985,0.6016939944862778,0.618831525659955,0.9559994802154596,0.4067946854674814,0.25533098700894297,0.3389035825919498,0.5087004717588695,0.47029377875354805,0.30744058710197186,0.31262693561329946,0.9488023693279907,0.002646106503673157,0.0013248060407768812,0.23984674329318126,0.0013303920193480088,0.4077641510546753,0.2914475936594924,0.3775521967895964,0.6037081783304169,0.2932448569082342,1.3634820932691747,4.239363193511963
7,1.335272885181687,0.3993556474644201,0.921928743879386,0.8551649426188219,0.9626940552937864,0.8844755957071587,0.8064569705753527,0.6756831975836757,0.7478257838647964,0.8750639059910819,0.23988769271101507,0.13629112853628209,0.1590847272268368,0.4875013963719688,0.5149076183244686,0.34671756765968487,0.3789845700203785,0.8028504098591406,0.307571190320799,0.18173360590517185,0.8195870597326526,0.18930670849112338,0.46720586798290886,0.33510637492120365,0.5263705352111661,0.5886806051783287,0.3541221671187609,1.2541190006516196,4.056823253631592
8,1.2971539185805754,0.60572933472037,0.9329332316682197,0.8742969599988006,0.9670789875477628,0.9011164886346713,0.816776910455144,0.6902983196257008,0.7540033441138029,0.8909519550253543,0.39754775533768133,0.24808711564534372,0.356245234723862,0.44968334579322955,0.6050114682502182,0.4337035427032018,0.5197598745387513,0.7237162068200594,0.744279588661619,0.5927112293001159,0.6473389408569501,0.8753681955548382,0.6409039306761657,0.4912000518185905,0.5693368485583415,0.7349299257983704,0.5822796040831729,1.130951309745962,4.034698486328125
9,1.2839808436957272,0.4479367794130306,0.9247384146426567,0.8600125097330034,0.9564243619650266,0.895084627592837,0.815653500766489,0.6886949902704709,0.7887589232912542,0.8444468894974081,0.21897400001345735,0.12294823321788222,0.1361461286576598,0.5591417253142431,0.3455785764622876,0.2088818311620529,0.6911922239887361,0.23038182112023547,0.6566855213121943,0.4888546440396194,0.49371470408157836,0.9802608928502701,0.509222899638607,0.37734492467250635,0.527452995004807,0.6535578321955392,0.40707936592931304,1.2228736091743817,3.915769577026367
10,1.2397043447602878,0.3386014046657395,0.9202505167278221,0.8522815069464125,0.9720758560918565,0.873671515217707,0.8124241170784805,0.6841029097693199,0.7364603121786507,0.9058611397508975,0.293492009679562,0.17198396453124828,0.20159829378283628,0.5393347254087685,0.491358470514793,0.32569597277522844,0.33864278928475455,0.8949475132203206,0.0730128296652835,0.03788962935990965,0.9070545307106151,0.03803731048289243,0.4175718567345297,0.3049181191089266,0.5459389814892142,0.5945451722157198,0.28595443661987946,1.2380659945986487,3.849020004272461
