,Background,C1,C2,C3,C4
Background,8199531,446575,57146,63214,41595
C1,178715,1908669,20535,111,536
C2,21385,8730,79206,7002,50
C3,15681,0,10886,205356,34144
C4,5896,0,200,28458,200715
