,Background,C1,C2,C3,C4
Background,8259047,393577,59465,57525,38447
C1,246862,1836670,24987,34,13
C2,19726,8028,84105,4514,0
C3,18352,0,16335,193824,37556
C4,12131,0,0,14376,208762
