,Background,C1,C2,C3,C4
Background,8254848,444462,71019,62749,34296
C1,161959,1864773,16333,327,99
C2,23547,15774,100341,10949,0
C3,21829,409,17374,231186,29712
C4,4385,179,123,25759,141904
