model,baseline,metric,metric_display,model_mean,baseline_mean,delta_vs_resunetds
DeepLabV3-ResNet50,ResUNet-DS,adjacent_error_rate_fg,Adjacent Error Rate,0.049128275682444454,0.04761177586541591,0.0015164998170285465
DeepLabV3-ResNet50,ResUNet-DS,distant_error_rate_fg,Distant Error Rate,0.0001480362597881836,0.0002467868660447699,-9.875060625658629e-05
DeepLabV3-ResNet50,ResUNet-DS,dice_c1,Dice C1,0.8456289352347154,0.8526233182397911,-0.0069943830050757105
DeepLabV3-ResNet50,ResUNet-DS,dice_c2,Dice C2,0.5846034998242013,0.5903214990250181,-0.005717999200816726
DeepLabV3-ResNet50,ResUNet-DS,dice_c3,Dice C3,0.7198227457220381,0.7350943786927889,-0.015271632970750848
DeepLabV3-ResNet50,ResUNet-DS,dice_c4,Dice C4,0.7621717477850872,0.7684762533239848,-0.006304505538897609
DeepLabV3-ResNet50,ResUNet-DS,iou_c1,IoU C1,0.7325913151243939,0.7431118193974344,-0.01052050427304052
DeepLabV3-ResNet50,ResUNet-DS,iou_c2,IoU C2,0.41359860713152974,0.4192267965573856,-0.005628189425855856
DeepLabV3-ResNet50,ResUNet-DS,iou_c3,IoU C3,0.5624173043484518,0.5813998662486262,-0.018982561900174333
DeepLabV3-ResNet50,ResUNet-DS,iou_c4,IoU C4,0.6165904452507893,0.6243306348023735,-0.007740189551584176
