metric,mean,std,median,min,max,mean_sd
selection_score,0.6983838411835661,0.014106874095277937,0.7036399412784968,0.6803531229020209,0.7115741891217727,0.6984 ± 0.0141
val_loss,0.9553608466278423,0.039407194659310724,0.9637448381293904,0.9135696725411848,1.0069715204564007,0.9554 ± 0.0394
mean_dice_no_bg,0.7230557495239941,0.012009159618530243,0.7286175534419901,0.7067576587939481,0.7345574448913874,0.7231 ± 0.0120
minority_dice_c2_c3_c4,0.6819359022899475,0.015563412669904594,0.6869881998361679,0.6627500989740693,0.6962520186086962,0.6819 ± 0.0156
mean_iou_no_bg,0.5759975999543789,0.013729882576502143,0.5843895317058598,0.5568223029452904,0.5878402816737212,0.5760 ± 0.0137
macro_precision_no_bg,0.6692942853380439,0.013637220705930061,0.6696591999355077,0.6507698301255165,0.6891675086101825,0.6693 ± 0.0136
macro_recall_no_bg,0.7929139371562854,0.0237009748899738,0.8013878193367331,0.7580309050457527,0.8202608455498588,0.7929 ± 0.0237
dice_c1,0.8464152912261342,0.007142695083094553,0.8494737237394612,0.8387165899786309,0.8535056142594569,0.8464 ± 0.0071
dice_c2,0.56850430799491,0.025837389752392668,0.5571099997889698,0.5414966803857199,0.605593214937685,0.5685 ± 0.0258
dice_c3,0.7161364677478076,0.014767265265655478,0.7202845277512641,0.6950829626705829,0.7334747629970179,0.7161 ± 0.0148
dice_c4,0.7611669311271244,0.01945145165800005,0.7552105278838095,0.7382874941231564,0.7835700719682694,0.7612 ± 0.0195
iou_c1,0.7337792613678964,0.010718020571394588,0.7383349179129015,0.7222324737793313,0.7444481411116209,0.7338 ± 0.0107
iou_c2,0.3975072938025681,0.025433449173672497,0.38610704884467256,0.37126873357334944,0.4343016840029372,0.3975 ± 0.0254
iou_c3,0.5579622717274637,0.017856576065541786,0.5628474011379803,0.5326644857768946,0.5791236854724363,0.5580 ± 0.0179
iou_c4,0.6147415729195872,0.02540128415749544,0.6066973932547182,0.5851471636243107,0.6441555357291654,0.6147 ± 0.0254
precision_c1,0.8194764476643751,0.018738790840332104,0.8164176230226163,0.7966269262561925,0.8401658381863055,0.8195 ± 0.0187
precision_c2,0.4928677452807402,0.037123104244191185,0.49448312566180574,0.44388082837487236,0.5393728297148421,0.4929 ± 0.0371
precision_c3,0.644619050162174,0.02942835841899654,0.6476085125639348,0.600371807381565,0.675199989478542,0.6446 ± 0.0294
precision_c4,0.7202138982448865,0.021749796259863688,0.7244982673981835,0.6904187869336481,0.7479133178543341,0.7202 ± 0.0217
recall_c1,0.8766097563277164,0.035102929938885766,0.8899516187017134,0.8372723329371072,0.9098302244164506,0.8766 ± 0.0351
recall_c2,0.6776924556040159,0.06107911881070902,0.6806217937149786,0.598389227878402,0.7382703169045505,0.6777 ± 0.0611
recall_c3,0.8081103707771561,0.03923667995501812,0.8163879377835374,0.7690958749483228,0.8640311470499862,0.8081 ± 0.0392
recall_c4,0.8092431659162533,0.04797659186322114,0.8200889592980245,0.7289062953292295,0.8531298216084204,0.8092 ± 0.0480
