,Background,C1,C2,C3,C4
Background,8053939,454895,126600,71269,34408
C1,149025,1854084,20728,162,119
C2,30546,26481,174379,7344,182
C3,17566,33,16906,251386,28551
C4,7312,321,3,28306,179791
