epoch,train_loss,train_ce,train_dice,train_focal_tversky,train_ordinal,train_aux,lambda_ft,lambda_ord,amc_p,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,2.095851407809691,1.2151215225458145,0.8807298961010847,0.8148671463131905,0.26242668994448404,2.095851407809691,0.0,0.0,0.0,0.3432860384744404,0.8276929355700003,0.7060376591455944,0.9751710527348644,0.7189620880342326,0.6811211121456283,0.516439468717037,0.5432305013489487,0.9128283987201323,0.13793907964611032,0.07407871468560472,0.08372015185957084,0.3914508993509228,0.47142225889503075,0.3084058116365425,0.3547429405128406,0.7024748966133287,0.15108721245406792,0.0817167870068152,0.18937152975572297,0.1256792519005331,0.3603924157852093,0.24516019551149987,0.29276628086927076,0.5331083616462293,0.25348285033173634,0.19537900774447906,0.144254589986223,0.01794171490695066,0.8378036951068263,0.830786035398358,1.9624638747085223,8.263562440872192
2,1.7890715422955425,0.9438321211121299,0.8452394259246913,0.7747743515805765,0.19091554942794822,1.7890715422955425,0.0,0.0,0.0,0.30960270794746736,0.8551367618169932,0.746933549175853,0.9749960517481769,0.7615206637229542,0.7193156941118926,0.5616651120067202,0.5810467133444056,0.9439409192695938,0.1279893176999768,0.06836997187576102,0.07425866035944656,0.4629926868171873,0.10184356447179305,0.05365393629606332,0.2404681814202703,0.06460195720750012,0.421698337660711,0.267184878355693,0.8677309493400216,0.27852857982261886,0.3427117284860934,0.23771847463355938,0.440876126116036,0.43751603577922504,0.2171770732774936,0.24057257859583187,0.13992818846058522,0.0499633726639289,0.8101084388754859,0.764829454351432,1.8207810033451428,6.176332712173462
3,1.6386075182394548,0.8071761266751722,0.8314313915642825,0.761858731508255,0.16016818312081424,1.6386075182394548,0.0,0.0,0.0,0.37717048131992975,0.8465578179221555,0.7339404012406946,0.9750220732380335,0.7480043362458375,0.666207392773417,0.49948349478311554,0.508469860076876,0.9658259400147644,0.24519714788824407,0.13972917105369995,0.4938260354489613,0.16308698574480285,0.48154599114859054,0.3171291249794533,0.3221753900566606,0.9529342995071387,0.12443887231741528,0.06634754286636879,0.8149107339647261,0.06736265788478488,0.37934735103191675,0.2556723334206594,0.5348455048868059,0.5373024707878727,0.2837273371180833,0.11299120373579796,0.11064320943991622,0.0010935112717434259,0.8882632792883404,0.9312987373950475,1.7948176914995366,5.937912940979004
4,1.5120292102748698,0.6962641653689471,0.8157650435512717,0.742898479104042,0.1350283557549119,1.5120292102748698,0.0,0.0,0.0,0.3784042270678449,0.8742829145901138,0.7766453276062498,0.9714319952831634,0.794798275260827,0.7248483349313708,0.568440880240202,0.5929599581842482,0.9321893946079961,0.40651227194891426,0.255108504943492,0.42956472204534674,0.3858080113961063,0.4334991561564112,0.27673087943749297,0.2817723544789553,0.9392714726759944,0.00023662069247954655,0.00011832434523402651,0.11926605504040064,0.00011842782507298713,0.39127409593229395,0.27509964724160524,0.3558907724372377,0.5643468266262925,0.2800826829326017,0.11604796568701484,0.11459335201809762,0.0006891530333066787,0.8847174949485958,0.9297238852859567,1.6368992924690247,6.188016891479492
5,1.4195421243255788,0.6195336458357897,0.8000084859403697,0.7244529344818809,0.11402939547869292,1.4195421243255788,0.0,0.0,0.0,0.5163084441930891,0.8982416695898499,0.8152801252298791,0.9584376780723926,0.8451602097130673,0.756252663968659,0.6080436452485414,0.6572139907699758,0.8904367779640918,0.26130764246410115,0.15028975156618868,0.2234842140151098,0.3145420984520773,0.550182115292698,0.37948360348980803,0.4018567598194264,0.8720592335782069,0.5132387692924046,0.3452059138293097,0.7267417117965999,0.3966967746637152,0.5202452977544657,0.370755728533462,0.502324169100278,0.6184337211645229,0.4415761756830679,0.08571043909140624,0.0845529390580609,0.00045891520947541114,0.9149881457324637,0.9528914945690854,1.417771109125831,5.785377502441406
6,1.3397041748870502,0.556063408201391,0.7836407700722868,0.7048646513033997,0.09716314513405616,1.3397041748870502,0.0,0.0,0.0,0.38320333751222113,0.8963605178133367,0.8121859830869402,0.9729721038882335,0.8309330520273461,0.7801975843040696,0.6396098042312417,0.6812666103698927,0.9127426357261662,0.2842844554199418,0.16569439865366714,0.18001761563434085,0.6755866095522468,0.4925512970135386,0.3267449804678112,0.3765754556846089,0.7117536592658049,0.07132251426189484,0.03698001080496862,0.7611898804552301,0.03741408289036601,0.40708896274986117,0.2922572985394222,0.4997623905360181,0.584374246858646,0.28271942223179175,0.13419467749024397,0.13072264689031918,0.0016468819815309412,0.8676304711281498,0.9144499534818772,1.4650053273547778,5.5969624519348145
7,1.307695890014822,0.5280244401232763,0.7796714536168359,0.7006622617217627,0.09267299364066937,1.307695890014822,0.0,0.0,0.0,0.5271058953435377,0.9123719075515094,0.838863867057313,0.9452158529237473,0.8817338083851856,0.7700681689534329,0.6261063820896241,0.7187564825955245,0.8292693142500658,0.29392012333188094,0.1722780552959167,0.28274490902517063,0.3060150677647991,0.5427687700219649,0.3724657822699463,0.39018127754566656,0.8913457565281944,0.523239691063874,0.3543159224267218,0.8124244807149339,0.3858834032512817,0.5324991883427882,0.3812915355205522,0.5510267874703239,0.6031283854485852,0.45330952813924,0.08759207626868706,0.08645066948152048,0.0005229430247411916,0.9130263874937383,0.9537042195715719,1.3489554754712365,6.251367092132568
8,1.2818767536770215,0.5110692649402402,0.7708074863661419,0.6910342655398629,0.07889313767240806,1.2818767536770215,0.0,0.0,0.0,0.4316895702800664,0.9204445658463223,0.8526144528816244,0.9541360927785836,0.8890512516069985,0.7920160718125734,0.6556511666516867,0.7350556552134522,0.8585459083821816,0.3805172902454454,0.23496224316165487,0.4318718907453018,0.34007804741027353,0.5036636044503279,0.33659784387274055,0.3448502213083893,0.9336242605040855,0.12923823403053933,0.06908321325648104,0.8581016835388678,0.06988152662576033,0.4513588001347215,0.32407361673564083,0.5924698627015028,0.5505324357305753,0.3378063762421042,0.11246717666214313,0.11152665666458184,0.00044084210221141576,0.8880325012332068,0.935981044943874,1.3955176052722065,5.752020597457886
9,1.3174209946935826,0.5402707616713914,0.7771502435207367,0.6947400366718118,0.08834210203283212,1.3174209946935826,0.0,0.0,0.0,0.6216995189033792,0.9302106775264543,0.8695269788033028,0.9571704718349424,0.9047279854556686,0.7985740767409132,0.6646885682095452,0.7412948858615565,0.8654463390420529,0.4439741406391985,0.28532568271171166,0.419560626961468,0.4714043517951671,0.5600447701456701,0.3889320713133046,0.5922177734996575,0.531187325519267,0.6879506533999143,0.5243329110925602,0.5466989160138801,0.9276223792149634,0.6226359102314241,0.4658198083317804,0.5749430505841405,0.6989150988928625,0.563989854728261,0.07406990902019144,0.07318801366388203,0.00034455643115635675,0.9264674299049616,0.9651483299699537,1.2010354914448478,5.976978302001953
10,1.2495022402568297,0.4848181185397235,0.7646841264583848,0.6815402108159933,0.07107518513856287,1.2495022402568297,0.0,0.0,0.0,0.6061258311372542,0.9287730601114912,0.8670180197374017,0.9265262974116635,0.9310307457895726,0.7713309317465401,0.6277776104862629,0.8077480325960629,0.7380558825685182,0.32839017144270816,0.19645144807872436,0.42866837946576597,0.2661336436503583,0.5930117532859605,0.4214759822414394,0.4688690041440203,0.8065670257903642,0.720513660364368,0.5631272785370679,0.7352135244813244,0.7063900921459255,0.6033116292098941,0.45220807983587363,0.6101247351717933,0.6292866610387915,0.5473051950310123,0.069820274295314,0.06847003847472109,0.0005952237278480707,0.9309347377974309,0.9674922535567851,1.261321938850663,6.017184257507324
