,Background,C1,C2,C3,C4
Background,8093295,463561,71839,144250,39286
C1,168809,1808171,28006,220,321
C2,34384,12335,131144,21444,59
C3,8530,56,11859,256291,20933
C4,3546,22,117,47834,168024
