,Background,C1,C2,C3,C4
Background,8323548,373359,56564,75172,38731
C1,230901,1807056,5233,289,12
C2,32678,19432,84011,14468,22
C3,21475,404,11050,243130,24451
C4,3874,251,27,21368,146830
