epoch,train_loss,train_ce,train_dice,train_focal_tversky,train_ordinal,train_aux,lambda_ft,lambda_ord,amc_p,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,1.9435747902501712,0.9208433380858465,0.8516377318989147,0.7840526327490807,0.18457740037278694,1.7109373306686229,0.0,0.0,0.25,0.5069327820216675,0.9079208333816423,0.8313690629160476,0.9657748372797453,0.8566064767314419,0.7677429166964811,0.6230379415943494,0.6691435848872689,0.9004213867347549,0.17909665104888584,0.09835593479030613,0.1479860653748766,0.22676962506057147,0.5750416128267181,0.4035497583669369,0.4310815211612008,0.8633622841169724,0.5349165567205775,0.3651099595550869,0.7981074734078374,0.40226283724975903,0.5141994343231656,0.3725133985766698,0.5115796612077959,0.5982040332905144,0.4296849401987271,0.0828558082893343,0.07993268773615594,0.0013274779170732928,0.9187398343467708,0.9486198760548153,1.331248865886168,8.881523370742798
2,1.5819318714466961,0.636981936679645,0.7986543733965267,0.7188763130794872,0.11032334494997155,1.462955591353503,0.0,0.0,0.26351575299006363,0.5457435719645815,0.9187608397972038,0.8497295266524403,0.9401289305945613,0.8983425081653251,0.7625955580835423,0.6162864236227045,0.7440762861484792,0.7820602097097527,0.303786184044533,0.1790966334473653,0.2222803395556417,0.47967279946348673,0.5485203682261106,0.3779042820985026,0.43935490849651376,0.7298692223220282,0.5804489533602422,0.40889614694324117,0.851883042511526,0.4401914708441868,0.548837765928607,0.3955458715279534,0.5643986441780402,0.6079484255848636,0.4775851685436286,0.09173758832408806,0.08859727920135577,0.001270107331709621,0.9101326134669346,0.9454114105982216,1.276643138040196,7.525728940963745
3,1.4854998114434155,0.5641548714854501,0.7812235097993504,0.6961666630073027,0.0817784908100624,1.4012141918594188,0.0,0.0,0.2746364945628822,0.5154288027271279,0.9231244697612404,0.8572248545350176,0.9650066435530216,0.8847265267033951,0.7907715970952126,0.6539472569413974,0.7283039236894394,0.8649605014164444,0.39661517279672065,0.24736118620289102,0.3458908170929188,0.4647734893201383,0.41836626702749397,0.26451526564321615,0.4224345861447663,0.41437556154535904,0.5013217505306836,0.33450925888075184,0.3405566699682807,0.9495909486509457,0.5267686968625277,0.37508324191706416,0.4592964992238513,0.6734251252332218,0.43876773011829934,0.11307097613114418,0.10359176604852849,0.004175066537893126,0.8922331674135784,0.9413755559739,1.1943740858273073,7.528637170791626
4,1.425030598586256,0.5294311869550835,0.7618147886612199,0.6742683452638712,0.06808657490182668,1.3378462412140586,0.0,0.0,0.2876981080569672,0.5877949191315424,0.92131904862933,0.8541163607817663,0.949538532831692,0.8947284731646586,0.770293481119642,0.6264043243594339,0.7181838262176515,0.8305566307852551,0.3558077498918241,0.21640276547247717,0.3349095852523564,0.3794875540298929,0.5706902617396711,0.3992768302511403,0.536158463104429,0.6099763734983658,0.6501762770620914,0.4816749520796496,0.5099789465347412,0.8966811720336003,0.5867419424533071,0.4309397180406752,0.5248077052772945,0.6791754325867785,0.5255580962311955,0.06933947348496658,0.06727518894772706,0.0009076616800203089,0.9318171493722527,0.9643747865683289,1.1865021532232112,7.7331624031066895
5,1.396813227371736,0.5062832505526867,0.7592011615633965,0.6711712845347144,0.06153946458785371,1.3132881630550732,0.0,0.0,0.2964202032454074,0.5867871163217357,0.9218532209758622,0.8550349905142404,0.9647661900590006,0.8825952305609295,0.7863067197910631,0.6478627941778675,0.7135430541221257,0.8755957329882986,0.39883268006178374,0.24908869616273044,0.3158978615142249,0.5408170717941889,0.6126525592834863,0.4415999491569854,0.4702840858491322,0.8786429736114978,0.5615980334654358,0.3904319143962605,0.7884694059519362,0.43611256164778434,0.5898474981504422,0.432245838473461,0.5720486018593547,0.6827920850104424,0.524361090936902,0.07439584636105127,0.0702873118391561,0.0016156120112164715,0.9280970761496274,0.9521621231446192,1.147069733251225,7.823066711425781
6,1.4186526320197366,0.5048571430485357,0.7506887479261919,0.6588400521061637,0.05753120259297165,1.3016474863344973,0.05,0.0,0.3052021486985623,0.4162402048688449,0.9218089004762844,0.8549587367985954,0.9634683718293027,0.8836027441720617,0.7921480011169609,0.6558320074392391,0.7258355432910625,0.8717953737011767,0.3903625463259645,0.24251581959338286,0.33329261531810167,0.47101473331958016,0.5413033706123472,0.37108700994228067,0.3818077205872252,0.9296562510398678,0.02562289754261784,0.012977712064593255,0.7391447368396739,0.013037423846822568,0.4373592038994726,0.320603137259874,0.5450201540090158,0.5713759454768618,0.31909627149364317,0.10016097895458621,0.09896766707104805,0.0005358932433145208,0.9004964396856374,0.9357468080281722,1.2866996824741364,7.641443729400635
7,1.3734494623812763,0.44772565229372546,0.7388821027495645,0.6507779976183717,0.043609730256403884,1.217638928781856,0.1,0.0,0.32424733512388015,0.41740966220044806,0.924000082780394,0.8587362024785459,0.9478888935276281,0.9012857696089047,0.7856010273056736,0.6469052139946231,0.7703811442134967,0.8014344080791117,0.39358852244313824,0.24501102484759013,0.3141588890516663,0.5267742727954448,0.5399039158029869,0.3697728674479047,0.38245221843476185,0.9177198762104116,0.029878086937721943,0.01516560307239091,0.7653745263749188,0.015236437481867406,0.4372428881223802,0.3192136773406273,0.5580916945187109,0.5652912486417089,0.32112350839461573,0.10479836523025761,0.10371333709225028,0.0004888686976789287,0.8957977942100708,0.9356269072696451,1.289643794298172,7.402716875076294
8,1.416984724727544,0.4608970309861682,0.7359196658838879,0.6436025456271388,0.04332409032345326,1.2362763617526402,0.15,0.0,0.3431911597041494,0.4179850951339277,0.928136064313667,0.8659084734662387,0.9705703988430991,0.889256841991777,0.8101868234429652,0.6809361666235745,0.7309757715450951,0.9086514205347569,0.4074161602885009,0.25582085547364686,0.3975436246698678,0.4177915291711483,0.5443016671286526,0.3739110328271271,0.38740293964289696,0.9147948487570824,0.006811159734904218,0.003417217474485924,0.33389639639451635,0.0034406730490279406,0.44217895264875573,0.3285213180997086,0.46245468306309406,0.5611696178780039,0.31950966238401923,0.09668177186347494,0.09511660876936169,0.000695673806830866,0.9041877174238074,0.936256119088894,1.2651257867162877,7.716999292373657
9,1.4537796919996089,0.4645851225676862,0.7368041317571293,0.6453231884674593,0.04763017589522695,1.233258080753413,0.2,0.0,0.3622156765849484,0.201539345877281,0.9132383044919931,0.8403298609683697,0.9678477495596353,0.8644622410197192,0.8112253089341714,0.6824045927549528,0.7663331891378091,0.8617043089497294,0.17344553367776475,0.09495776713792559,0.09682348683335372,0.8313071422405514,0.011739496198472667,0.005904405472032919,0.12756122800957048,0.006152873448470728,0.08646774300416953,0.04518750216414979,0.8940397350983168,0.04543080939947517,0.2707195204536446,0.2071135668822653,0.47118940976976253,0.43614878350955666,0.09055092429346899,0.2797765296431513,0.14865454744433865,0.06547331583697127,0.78587213671869,0.6599293516510623,1.5344001136042855,7.943021774291992
10,1.5098196552558378,0.4760105967183005,0.7440272142941301,0.6531981866468083,0.050321639616000044,1.264823060821403,0.25,0.0,0.39268813037027495,0.4368199325386457,0.9137828068634121,0.841252387310083,0.9747251910133659,0.8600125583966564,0.8200311945188343,0.694960062257276,0.751430059321278,0.9024165019566961,0.2675188931259483,0.15441374342525307,0.16258951417629552,0.7543472920304124,0.5189748502302144,0.35041596039802914,0.4064969685086796,0.7175102326045483,0.24285785861013862,0.13821184575201373,0.8897209985312445,0.14062082970698342,0.4623456991212839,0.334500402958143,0.5525593851343744,0.62872371407466,0.3431172006554338,0.11238420924527896,0.10778801539111386,0.0022343115246655112,0.8899776730842206,0.9224590240900026,1.2398605753074994,7.793729782104492
