epoch,train_loss,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,1.8124175681309267,0.38778965860583836,0.9129198554831468,0.8397907551599052,0.9560705197816295,0.8734960533830753,0.7876730695530623,0.649720013447757,0.7241534333561364,0.8634074734471245,0.402294920795289,0.2517954821771858,0.30435912812289295,0.5931603182086919,0.14054496160428515,0.07558395266472448,0.7149725698080764,0.07793219985957295,0.4872346231021995,0.32208208261704296,0.32332235518530733,0.9882300961542391,0.454436893763709,0.3247953827266775,0.5167018716181033,0.6306825219174071,0.34335816850059125,0.11954494615193316,0.1162478155295739,0.001308465590817181,0.8824437188796089,0.945502029378092,1.4543344730680638,7.731361150741577
2,1.3821565224365755,0.3856203872413999,0.931057522548408,0.8710080684304847,0.9377017960394215,0.9245067452271725,0.7884516118595668,0.6507801253152885,0.7753592692700907,0.8019936904364748,0.4322426531859261,0.27570762405566795,0.34260150764388536,0.5854157679844815,0.47431352657554804,0.31088531938736813,0.41181753628960405,0.5591714286673937,0.11602790709000337,0.061586850212194934,0.5324443120015896,0.06510797429204916,0.4527589246777611,0.3247399797426299,0.5155556563012924,0.5029222153450997,0.34086136228382585,0.13674017949014236,0.12015531601526748,0.005928897252623296,0.8739157867321092,0.8915384080546611,1.3919991905039006,6.721777677536011
3,1.2673887386918068,0.5624092093629427,0.9339924907071557,0.8761593915288055,0.9501823654532285,0.918345081966189,0.8131787727220708,0.6851737684092173,0.7715936039906538,0.859501766867258,0.4765748289107935,0.3128311373311863,0.38663090249369586,0.6210537403569003,0.4506830667396893,0.2908914613043651,0.7221654371462742,0.32754838427917154,0.6763798779853027,0.5110075517405834,0.564487223251714,0.8435978373256791,0.6042041365894641,0.449975979696338,0.6112192917205845,0.6629254322072522,0.5345459245452618,0.07487868883850275,0.07155247822927048,0.0013569442208015458,0.927090577549928,0.959693021565514,1.214253145185384,6.682053327560425
4,1.1924992366270586,0.5814150452799425,0.925549333615782,0.8614163149346592,0.9735744409553941,0.8820395198446331,0.8058213201758819,0.6747912467291458,0.7166051737872599,0.9204109443552696,0.44248906294537504,0.28410013208777624,0.3419389969271257,0.6268069781206109,0.5469358505399758,0.37640172372515257,0.5670720710972406,0.5281806301630156,0.680018130722497,0.5151723266431738,0.5648435123355663,0.8541925727533625,0.6188160910959324,0.46261635729631206,0.5476149385367981,0.7323977813480647,0.5564810147359492,0.07917707200460669,0.07701111570841983,0.0008434446470534591,0.9221454396445267,0.9583131103854176,1.1432745998555964,6.5397255420684814
5,1.1909933760762215,0.3647590227176505,0.9211816327686413,0.8538801903537567,0.878594604882081,0.968107508756862,0.7124455025739846,0.5533323086504326,0.83208973616023,0.6228826637586997,0.2645397829750668,0.15243206405996584,0.32219613379041784,0.2243863045855249,0.12287931463007874,0.0654615952974079,0.7093311605495574,0.06726599007622334,0.5909624772623611,0.41940861597083073,0.711490611532891,0.505354304168181,0.4227067693603729,0.29765864599465924,0.643776910508274,0.35497231564715725,0.3261271916225022,0.08196576843474891,0.07309360610761417,0.0035891693784691307,0.9233172245139167,0.9393470976785363,1.9624630646272139,6.395605802536011
6,1.1820402545007793,0.6187145870904103,0.9349401927452388,0.8778288189797422,0.9644612698503074,0.907172655823479,0.8213910394512413,0.6969156581575647,0.7732577743071692,0.8759144105265056,0.5049338754619372,0.3377334735732501,0.3800257989959076,0.7521543292236011,0.5872283805773465,0.41565697704015636,0.6317363416200246,0.5485791264793932,0.6964226877783366,0.5342396505746452,0.586591621322422,0.8568571988175047,0.6524939958172155,0.4961364398364041,0.5929028840613808,0.7583762662617513,0.5961949812725401,0.06999372201890644,0.0696513990340807,0.00017095552190455162,0.9301776454440147,0.9651920876016562,1.0854390520941128,6.552982807159424
7,1.151551186361096,0.639159410534262,0.9354365432208249,0.8787043527221741,0.9708872732582075,0.902483491410971,0.8209278742638846,0.6962490727625038,0.7507357706908608,0.9055993761240766,0.4920476955849257,0.3263018957193,0.4128490917068152,0.6088450387728795,0.629657511341711,0.45948915439249977,0.5771778261770094,0.6926351081234292,0.7351835367662749,0.5812570899707056,0.6637346749305288,0.8238704946183287,0.669454154489199,0.5158243032112523,0.6011243408763036,0.7577375044096786,0.6189629145643039,0.06436581586966185,0.0637425351259768,0.0002741952108847043,0.9359832696631385,0.9667011230968449,1.0883669514547696,5.739014625549316
8,1.1162182099439881,0.6034275010478406,0.9389160553533543,0.884865010059148,0.9631468461285734,0.9158745384681803,0.8292444422735336,0.708298531491812,0.7976577575036435,0.8634358949044273,0.5043900097776038,0.337247018323675,0.4171272802422062,0.6378218954084127,0.5976110665218753,0.4261378938863377,0.4741674536532184,0.8079511134850855,0.6330091131021451,0.4630675443189295,0.7213140540162234,0.5639669677466116,0.6410636579187894,0.4836877470051886,0.6025666363538229,0.7182939678861342,0.5783367298005414,0.08161941850240709,0.0772274815334776,0.0015717159093451834,0.9212008025571772,0.9526504639079448,1.10138569094918,7.294816255569458
9,1.108543019403111,0.5945403304708026,0.9407602438993652,0.8881466528055683,0.9497247100843489,0.9319634267417628,0.8177544991281498,0.6916960128205981,0.8338011732876729,0.8023138057976741,0.5176704347840472,0.349227625847583,0.3873436383241966,0.7801681329815123,0.5113230543694011,0.34347482566327125,0.6990485845291163,0.4030785872898957,0.6802227793731773,0.5154072738504369,0.5346005980350138,0.9348783609588583,0.6317426919136938,0.47495143454547234,0.6136984985439999,0.7301097217569851,0.5697387561755418,0.08737741835213017,0.08573796873504003,0.000615995869461338,0.9136460353954986,0.9586840493058311,1.0988721576603977,6.892055034637451
10,1.119940641928803,0.6034110005788078,0.9331325336974011,0.8746470983235832,0.9681044578031059,0.9005991785735067,0.8226137825450627,0.6986779447131987,0.7618512978292987,0.893908683353548,0.5015315717234398,0.3346961218931174,0.43654382829133254,0.5892529317937567,0.5756650907331902,0.40416413793404765,0.5374641994516496,0.6197118275668403,0.659968745291042,0.49250250169305254,0.5252096537748316,0.8877486414961584,0.6399447975731837,0.48251017655835404,0.5652672448367781,0.7476555210525759,0.5790551359158905,0.07018925617920267,0.06903386242483134,0.0004726426086295681,0.9304934949665391,0.965330251349325,1.110536671497605,7.0923662185668945
11,1.1140561510216107,0.6335093319211829,0.9411907318975191,0.8889143307030654,0.9573472448836696,0.9255704940099722,0.8273511847728051,0.7055404602208292,0.8075248577606734,0.8481755668210856,0.5078259178215315,0.3403261884029923,0.4147395308791674,0.6547906864760964,0.6014803205650163,0.430083558643966,0.6128787059926774,0.5904981707869953,0.72660780642646,0.5706080264143676,0.6234823624584709,0.870608491275018,0.6658163073964533,0.5116395584205388,0.6146563642727473,0.7410182288397988,0.6119713482710026,0.06820323777989286,0.06765378606571798,0.00027472585708743956,0.9320714880771945,0.9667677393906399,1.0792601284655658,6.778968095779419
12,1.0931305397640576,0.6373042963038631,0.9410257629382918,0.8886200721457747,0.9621118608189053,0.9208441086031439,0.8201409415287791,0.6951177224434423,0.7943945454885284,0.8476121238956102,0.5442394383812579,0.3738523028650312,0.42610090115659044,0.7530170640931375,0.6202007697787492,0.4494862413275154,0.6160331959008691,0.6244251164884276,0.6865271323432771,0.5226808632659944,0.5894146159825779,0.8219528748354161,0.6677770705080158,0.5102842824754958,0.6064858146321415,0.7617517948281478,0.6169891135010946,0.07766507793604038,0.07737996384670102,0.0001152943105795641,0.9225047418427195,0.961341884939963,1.057313241741874,6.332916498184204
13,1.08993690664118,0.6080022787735788,0.9430546841319343,0.8922454832560629,0.9623195557743559,0.9245460088370347,0.8201529782815993,0.6951350159676455,0.765219756967532,0.883583217777667,0.44883647305144286,0.2893547103537125,0.47788598265320176,0.4231162786031508,0.601461950688434,0.43006477441532975,0.7019028242105608,0.5261683279078263,0.7029915127448527,0.5420099557194034,0.5703456236227501,0.9160346720232065,0.6433607286915822,0.4891411141140228,0.6288385468635111,0.6872256240779627,0.5844299788282432,0.07903782213733151,0.07834538032283435,0.00028338514163015117,0.9213712345355355,0.9614316875395854,1.1604806970466266,5.4845476150512695
14,1.0693471174348483,0.5788545829876984,0.9341321425742513,0.8764052092070199,0.9686414695318607,0.9019971219547004,0.8231500365956345,0.6994519796002239,0.7632010210223739,0.8933198107031175,0.40565195014167726,0.25443123926279737,0.2876360661926574,0.6878906132439488,0.5450645443074726,0.3746314258648884,0.6455506458035117,0.47164803859318666,0.7044154366446335,0.5437047156692767,0.621931694112947,0.8121233653543583,0.6195704919223545,0.4680548400992966,0.5795798567828725,0.7162454569736527,0.5517106436979278,0.08980196601804867,0.0872638074245196,0.0009262493716475189,0.9118099432038329,0.9503838254125961,1.1766683554107493,6.57124662399292
15,1.0672044781121341,0.6459470890093475,0.9442551439003677,0.8943971059341417,0.9574067911609012,0.9314599220106681,0.8178843855218237,0.6918818899815178,0.7790343651218008,0.8608126442575899,0.5155513642713515,0.3473015851560878,0.515578519651834,0.5155242117512255,0.6343378916163828,0.4644910975579297,0.7236204268948638,0.5646674662124519,0.7306395789694826,0.5755966287150502,0.6213602770993751,0.8865598083290797,0.6746033050947602,0.5198178003526464,0.6598983971919684,0.7068910326375868,0.6268429449524057,0.07024883153382187,0.06988013251102279,0.00014849788029882866,0.9299713696086784,0.9655679392478361,1.1195768930695273,6.705188035964966
16,1.0541001856327057,0.6159089381416427,0.9391643865902664,0.8853062385147574,0.9649950603177571,0.9146805162052597,0.8309065728840703,0.7107272640595182,0.7833497808833073,0.8846108778390872,0.46329366817965834,0.30148484364664063,0.3786392007205871,0.5967015438941145,0.6006456552079138,0.42923056439800944,0.6057033739952447,0.5956717024614389,0.7121216127898803,0.552941659602287,0.608325937878157,0.8586245063609015,0.6517418772653807,0.49859608292661384,0.594004573369324,0.7339021576388856,0.5920203120591508,0.0703876212744118,0.07024851042323035,5.844302031882726e-05,0.9296930465564508,0.9651000378754163,1.1079532436349175,6.120945453643799
17,1.1105614534833215,0.6541339133469413,0.9416914162541213,0.8898079735127998,0.964510783066668,0.9199268607461597,0.8292380830001951,0.7082892524598009,0.7891445089725226,0.8736237407923161,0.5038298511895619,0.3367463597573729,0.39160522121751296,0.7062136974207885,0.6522214695345563,0.48392332626734846,0.6231882727383822,0.6840920619882929,0.7479823627656208,0.5974215861829728,0.74230027362846,0.7537521123424225,0.6833179416224835,0.5315951311668738,0.6365595691392194,0.754420403135955,0.6346778944965796,0.06682338884621065,0.06671529510005272,5.404687307896372e-05,0.9332306580268683,0.9649722917100184,1.0416241599754854,6.579258680343628
18,1.0515676642006093,0.6080908237623975,0.9400190720202201,0.8868264015012088,0.9638617224762848,0.9173275189903659,0.8210165117736322,0.6963765989706507,0.7831870144520228,0.8626859673292813,0.42530221218038866,0.27008497469808407,0.3118573708423546,0.6684740627789759,0.5963839381277056,0.4248910755069192,0.618710595304274,0.5756125091964371,0.7316110916420203,0.5768034447645425,0.7087646476033997,0.7559794664370644,0.6435784384309367,0.49203902348504913,0.6056299070505128,0.7156880014354396,0.5844324139833715,0.09078383362525584,0.08981980726913905,0.0004224849639585601,0.9097577077669023,0.9513557982440634,1.3653560849753292,6.798020362854004
19,1.0338800935582682,0.5856430397441101,0.936280437297246,0.8801948089760577,0.9651347478632292,0.9091013388096603,0.8257590746948701,0.7032279806465562,0.7825564030617336,0.8740106715092797,0.460428456137118,0.29906272168545933,0.44419372284278924,0.4778949269183071,0.6629325163417703,0.4958108131745007,0.5867719624185095,0.761812617370275,0.553529468436522,0.38267593867827815,0.4314306950602907,0.7720173269017563,0.6256623789025701,0.4701943635461986,0.5612381958458308,0.7214338856749045,0.5589634803051368,0.10935248131501515,0.05550289349044807,0.0219069166712569,0.922590189838295,0.9068914353453016,1.233082497661764,6.226166248321533
20,1.0482257895848968,0.6487870170525825,0.9359460728715608,0.879603983415951,0.9710643761147995,0.9032792036432081,0.816456011285355,0.689840022061237,0.7391671308449039,0.9117952538160747,0.5348915754981654,0.3650866833832035,0.4411643007711687,0.6791880260425208,0.630074398216955,0.4599332966672593,0.7038492794002726,0.5702978812035996,0.7255054126983694,0.5692495048052066,0.6154026737051622,0.883590002869557,0.6767318494247112,0.5210273767292266,0.6248958461803769,0.761217790982938,0.6301571288044966,0.06345282357519386,0.06310633312903409,0.00012877693701640738,0.9367648899339495,0.9676627158998968,1.0686890509995548,6.435172080993652
21,1.0202479592778466,0.6316815736984667,0.9436135917357764,0.8932466229722257,0.9616707073627611,0.9262220883678596,0.8301525138683772,0.709624565346952,0.7871962836572255,0.8780674605727029,0.4435290619369863,0.28495813901218503,0.3931287354361441,0.5087527462054457,0.6410329707599403,0.471706050969028,0.6172601052513524,0.6667103393366233,0.7443257083418368,0.5927697280151589,0.7268177497275935,0.7626979680517819,0.6647600637267851,0.514764620835831,0.6311007185180789,0.7040571285416385,0.6096292470129211,0.07067497389215321,0.07000991743536873,0.0002795406687864472,0.9297105418958448,0.9630142760257564,1.164316788315773,5.817525148391724
