,Background,C1,C2,C3,C4
Background,8184031,404292,89917,103183,30808
C1,232203,1760487,12783,54,0
C2,29263,21889,136268,11946,0
C3,14039,20,21373,247588,14649
C4,10234,133,0,46505,162671
