,Background,C1,C2,C3,C4
Background,8262627,287817,86698,71025,32944
C1,254025,1748602,21398,79,14
C2,55473,13327,164468,5502,162
C3,13593,35,21800,251968,27046
C4,7081,480,3,30947,177222
