,Background,C1,C2,C3,C4
Background,8335153,321902,70596,112651,27072
C1,311984,1718161,12779,563,4
C2,31110,13058,90124,16234,85
C3,16923,3,8752,259650,15182
C4,3138,193,8,43384,125627
