,Background,C1,C2,C3,C4
Background,8330418,366538,91439,44650,34329
C1,185038,1824972,33286,195,0
C2,21892,7852,115128,5737,2
C3,32287,177,23328,225407,19311
C4,4998,175,139,25364,141674
