epoch,variant_name,train_loss,train_ce,train_dice,train_focal_tversky,train_ordinal,train_aux,lambda_ft,lambda_ord,amc_p,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,amc_focal_tversky,1.9434372796253725,0.9207889532501047,0.8515922447497194,0.7840085226026449,0.1845423182133924,1.7105608270926909,0.0,0.0,0.25,0.5008612108998312,0.9040630254371289,0.8249224603428735,0.9691735135852036,0.847150238616302,0.7620309221807401,0.6155492377265941,0.653151136337023,0.9144728310523467,0.178779160672958,0.09816446024141617,0.14713994638069072,0.22775228900941977,0.5736335466968945,0.4021642161931835,0.42858928703604005,0.8670693154969595,0.5164849464697444,0.34814944765183736,0.8060680657270225,0.37997679141280066,0.5077321440050843,0.3660068404532578,0.5087371088701941,0.5973178067428816,0.42296588461319895,0.08347350195302525,0.0806629907068617,0.0012788155655536098,0.9180581937275847,0.9476203693038653,1.338331233371388,9.804900646209717
2,amc_focal_tversky,1.552841527895494,0.6147862500087782,0.7959606566212394,0.7170848223296079,0.10259572238746015,1.420946247198365,0.0,0.0,0.3054068230773602,0.5606527570675954,0.918645775273822,0.8495327010040978,0.9406391042882876,0.8976574124425102,0.7654533499839152,0.6200278863289146,0.740733840553071,0.7918796804096481,0.20565980376763124,0.11461583717483532,0.13739463071370717,0.40874836499323364,0.561518159252383,0.39035470823917195,0.576535834980979,0.5472629862566787,0.7195911706078636,0.562001100031061,0.7618337536711534,0.6817870612126091,0.5630556209029483,0.42174988294349575,0.5541245149797276,0.6074195232180424,0.4955897112092926,0.09616014494795667,0.09173769852617457,0.0020026433968897356,0.9062596580769356,0.9438224407113543,1.2785079655322162,7.310149669647217
3,amc_focal_tversky,1.4725741798227483,0.5560694970190525,0.7783254804936323,0.6924078708345239,0.08455445560288023,1.3817920102314516,0.0,0.0,0.3462888808355017,0.53272449178128,0.9147029696696264,0.8428134824907642,0.9631386464406997,0.8709056367758924,0.7730873822680315,0.6301079401213889,0.6887463635375848,0.8809669335465589,0.300214033262531,0.17661872679108834,0.21743973409736012,0.48474547011835223,0.48140258889069987,0.31700474751833435,0.6024827944942079,0.40084522977603404,0.5985832393278996,0.42712721591885855,0.43998788956592166,0.9359501015375146,0.5383218109372905,0.3877146575874176,0.48716419542376865,0.6756269337446149,0.4600666204937101,0.09277009361558573,0.08996626465379101,0.0012773045458379017,0.908756430800371,0.9518797620386676,1.215190215544267,7.761026382446289
4,amc_focal_tversky,1.4387344853444533,0.5393497989597645,0.7632818520069122,0.6757981980388815,0.07135462828657844,1.3610283204100349,0.0,0.0,0.3942755567367597,0.6112052066389343,0.9267857140797859,0.863560731755565,0.9481972320070062,0.9063198417028526,0.7793929489844699,0.6385289584686772,0.7341016563288442,0.8306403111146522,0.30103109992934324,0.1771845852604035,0.27314774743582715,0.33525439708916777,0.6262102621808394,0.4558268597747167,0.5714399459670044,0.6925925925925696,0.7314428555196452,0.5765943289998731,0.6852077124262167,0.7843690165360728,0.6095192916535744,0.46203368312591764,0.5659742655394732,0.6607140793331157,0.5528947392099427,0.06203479068807103,0.06082602636120643,0.0005229151284059616,0.9386510585103877,0.9661257561689643,1.1843632608652115,7.334700345993042
5,amc_focal_tversky,1.3751792812889272,0.4897185238924893,0.7563170939683914,0.6684374040500685,0.05941573238338937,1.2914367074316198,0.0,0.0,0.4236966088947711,0.5939862135519773,0.9037906597661729,0.8244690376141017,0.9807587865212243,0.8380240869506567,0.7743432249919052,0.6317781949900219,0.6719211464528909,0.9136056875219861,0.3331808165891688,0.19989019799218838,0.21324078997764728,0.7614915245233905,0.614668489021283,0.4436977605360528,0.48555704143677986,0.8373132341685522,0.6551558298166127,0.48716114799179566,0.7869300615093576,0.5611836379460075,0.5943370901047424,0.44063182537751466,0.539412259844169,0.7683985210399841,0.5343350451423549,0.07736276829762642,0.07481474900185389,0.0010225394994554124,0.9241627114986907,0.9508405943514171,1.163309934464368,7.111415386199951
6,amc_focal_tversky,1.3601431250572205,0.4628248594023965,0.7406111650846221,0.6491886573758993,0.05037717928115109,1.2424767471172593,0.05,0.0,0.4568295998663001,0.45455079396260695,0.9140619716592667,0.8417257226509641,0.9680537086069487,0.8657746927106031,0.7780389199925258,0.6367133395015879,0.6852939422625367,0.8998165394415688,0.38116266873326426,0.23545458297221594,0.38354442293210284,0.3788103126597407,0.5413330898674391,0.37111494482194274,0.37897684600756915,0.9470599980033627,0.1756896587404971,0.09630469924278401,0.8110728957672633,0.09851465042064993,0.46905608433343154,0.33489689163463265,0.564722026742368,0.5810503751313306,0.36606180578040015,0.09051496263691099,0.08882869326138584,0.0007515706749883576,0.9104197360636258,0.941968851943374,1.2807218771089206,7.642796039581299
7,amc_focal_tversky,1.3799818672917106,0.45520791970193386,0.7370233203877102,0.6471387838775461,0.04557187717132778,1.2303675650195642,0.1,0.0,0.52361723871022,0.44692575701635484,0.9279469329615669,0.8655792903284518,0.967823809526141,0.8912260833928953,0.8052260747764042,0.6739568530721913,0.731250284604056,0.8958537130821672,0.42631493045269436,0.27090231629085115,0.39127178309280297,0.46825265086876333,0.5616609367911206,0.3904927225838367,0.40568029339404177,0.9125153905027815,0.07586997497822577,0.039430794172741625,0.7570391553005311,0.03993617638526023,0.46726797924961117,0.3436956715299052,0.571310379097858,0.579139482709743,0.3546152807406802,0.09289272010731109,0.09182543231186766,0.0004824839605278208,0.9076920837276046,0.9397619479706336,1.211111143231392,8.679535865783691
8,amc_focal_tversky,1.37140193446116,0.4334899923679503,0.7238433035937223,0.6315609450367364,0.039828358286864714,1.1933449825102633,0.15,0.0,0.592694182562084,0.4402438301053066,0.9005606438629715,0.819108974802545,0.9856549301732913,0.8289915368405565,0.7625301886103748,0.6162010431220833,0.6342467941849164,0.955864253867519,0.4096323830021097,0.25757087771654064,0.3169912180221343,0.5787824262503682,0.5455337733686362,0.37507489921723863,0.38796818124323096,0.9186083657781465,0.09678762836882011,0.05085487558378294,0.8715949467026534,0.05123875834058304,0.4536209933374852,0.3249254239099114,0.5527002850382338,0.6261234510591542,0.3506512615798553,0.0923102043494922,0.09110355288348294,0.0005472705418837747,0.9083491765746333,0.937667751561479,1.2668391154571013,8.33693790435791
9,amc_focal_tversky,1.4267642796039581,0.4457985291426832,0.7321308668364178,0.6399063623764298,0.043813415728932756,1.2085361311381513,0.2,0.0,0.6625639302461128,0.1669273623465085,0.8933237695608145,0.8072132977919823,0.9826321627527843,0.8188967782344573,0.8087668464938063,0.6789324525709662,0.7310805366766016,0.9049264224799576,0.15536834155725446,0.08422729862959079,0.08493713526239978,0.9097343487526867,0.0014415796538885803,0.0007213097396667178,0.11260330578454235,0.0007254334298359214,0.0,0.0,0.0,0.0,0.24139419192623732,0.19097026523505592,0.23215524443088592,0.45384655116562006,0.05226997373704768,0.2853274046459155,0.14977328206657403,0.06773648801690053,0.7824902299165254,0.6314712052640872,2.0908644727685233,7.392075777053833
10,amc_focal_tversky,1.511836207725785,0.4868178709664128,0.7351613823663105,0.6434390795501795,0.04914027291074903,1.2899717092514038,0.25,0.0,0.7921099354987033,0.6152145975686674,0.9213618911728009,0.8541900046296302,0.9802914529092618,0.8691155916058115,0.8045786087032621,0.6730502018459722,0.708340593015513,0.9310787275304813,0.3231327079942255,0.19270022710486068,0.21053425928347777,0.6946438175166026,0.6045556471940307,0.4332352243057101,0.6017632009283971,0.6073741306445507,0.7433913550196497,0.5915854215942261,0.7155424590330732,0.7734957934435291,0.618914579727792,0.4726427687126923,0.5590451280651152,0.751648117283791,0.557026570069302,0.07621120700122093,0.0743003934285529,0.000903257499246622,0.9247963490722005,0.9532428160874867,1.1157029081474652,7.70157265663147
