,Background,C1,C2,C3,C4
Background,8271391,444048,47716,67806,36413
C1,157642,1871249,14402,191,7
C2,36154,16436,91973,6026,22
C3,19255,390,22045,238210,20610
C4,3590,234,101,28735,139690
