,Background,C1,C2,C3,C4
Background,8195663,513073,51370,57989,26698
C1,108703,1909842,7727,8,42
C2,33673,18969,114637,13763,8
C3,17845,210,9826,255139,35031
C4,4946,0,0,17443,141731
