,Background,C1,C2,C3,C4
Background,8217351,440991,60283,73447,20159
C1,151031,1825772,28533,42,149
C2,32629,9855,146451,10431,0
C3,19522,35,17470,249282,11360
C4,12406,45,122,57122,149848
