epoch,variant_name,train_loss,train_ce,train_dice,train_focal_tversky,train_ordinal,train_aux,lambda_ft,lambda_ord,amc_p,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,amc_focal_tversky,1.9745238775556737,0.9526878168637102,0.8507464494217526,0.7820869399742647,0.1923381770876321,1.7108960503881627,0.0,0.0,0.25,0.40002885661809867,0.8955231664922515,0.8108120870658071,0.9591753307947837,0.8397933508551911,0.7624407086009763,0.6160841859455963,0.6603278477865706,0.901912066005589,0.11833121531916004,0.06288631468116257,0.0975380451401734,0.15039174182156684,0.5142578572507981,0.346128606340277,0.36226881105970027,0.8859605803761599,0.2745884395386022,0.15914373464912543,0.8181612830357312,0.164979070159369,0.4174045551773842,0.2960607104040403,0.48457399675554386,0.5258108645906712,0.3023925040361868,0.11347146492184661,0.10985761021966038,0.0016405462948538194,0.8885018434854858,0.933719876431714,1.4855725006623701,10.327473402023315
2,amc_focal_tversky,1.601461730220101,0.6505584262988784,0.8030735816467892,0.7243545238267292,0.11594023144888607,1.4782972010699185,0.0,0.0,0.32952149919276263,0.3867914877468121,0.8923295277962513,0.8055911484405022,0.9647441308584566,0.8300269250772014,0.7513003528880304,0.6016661849994599,0.651873437854614,0.886516112722487,0.19916711297531622,0.11059722110271872,0.13268487550476452,0.39917538597351604,0.5118798999920751,0.34397754589118784,0.38589126685895214,0.7600153190288287,0.16656037784708452,0.09084584833587325,0.5498647476138034,0.09814478257106361,0.4072269359256266,0.2867717000823099,0.43007858195803356,0.5359629000739738,0.2925357969381586,0.15403335334849272,0.13545754735812118,0.006921117188079221,0.8576213354537996,0.8910192880622897,1.4806864966045727,7.3422322273254395
3,amc_focal_tversky,1.4702297083356164,0.5544653834605758,0.7783574963157828,0.6942518160424449,0.08457157354463231,1.37406825883822,0.0,0.0,0.4110143398051309,0.4415538787404299,0.8841201261272268,0.7923076191515123,0.9825937388300421,0.8035862881942146,0.7440232014510592,0.592386103239046,0.6089130902101798,0.9561895701229605,0.2178280143031208,0.12222614655113881,0.1634730869930057,0.32633448030254275,0.5116461001528382,0.34376642558290654,0.36086588279434717,0.8788587323503327,0.33605298591650584,0.20196135037485227,0.8357376871140813,0.2103095976642293,0.452387575455881,0.3150850064369859,0.4922474367779035,0.5929230951100163,0.35517570012415495,0.1194337651314515,0.11676264248586936,0.0011410807956833795,0.8820962767184473,0.9273218602917267,1.3679796755313873,7.817089080810547
4,amc_focal_tversky,1.4359575618397107,0.5341488078913905,0.7677113034508445,0.680707564408129,0.07148353842256422,1.3409744961695238,0.0,0.0,0.4799791997802999,0.5815393841950734,0.9080462136032293,0.8315793442134586,0.9543074500163479,0.8660627484685764,0.7564645705736638,0.6083176664476972,0.6733422424005436,0.8629996006037273,0.29667935352197455,0.17417704302206496,0.27379629236837594,0.323736243893125,0.5777946335450754,0.40626666666665834,0.5106010528866597,0.6653531271311199,0.6837717762136689,0.5194933248329041,0.5607540677669399,0.8759331884869535,0.5786775834635957,0.4270636752423312,0.5046234138556298,0.6820055400287315,0.5194152544269063,0.07471342160704549,0.07120467945440312,0.001360809781536353,0.9274345107640606,0.9628695649985103,1.2517757009376178,7.795759677886963
5,amc_focal_tversky,1.4077769003131173,0.5177047117189928,0.7599965123967691,0.6714999536899003,0.0588528134288605,1.300756724043326,0.0,0.0,0.5160961488949186,0.531349505113855,0.9182439425184856,0.8488456673460109,0.9622110764214076,0.8781192867050344,0.7912835907233979,0.6546478434895816,0.7126577398134563,0.8894101151467874,0.39953691027486576,0.24963831583487678,0.4912469444810015,0.3366822828365751,0.5216676900684493,0.3528757956271708,0.3633134688867283,0.9247150358283555,0.45020805584605295,0.2904958033523834,0.7451176396312192,0.32254729141897837,0.5406740617281915,0.3869144395760032,0.5780839482031013,0.6183386813076741,0.4571375520631227,0.09246204723093968,0.0908790535782149,0.0006236035601643039,0.9084973428616208,0.9486475535752393,1.2223651829090985,7.914973735809326
6,amc_focal_tversky,1.3730547658421777,0.4695998313413425,0.7441504997285929,0.6539127328856424,0.05111425260970877,1.2660880034620112,0.05,0.0,0.5646686384822941,0.3872949889102169,0.9154499017819842,0.8440826323155806,0.9462326171962746,0.8866069216751118,0.7909929754733119,0.6542501072588692,0.7837383419105768,0.7983831681149105,0.4071253984771428,0.25559161913179684,0.36260321267197426,0.46411123260734205,0.4485904269073356,0.28915022485847564,0.29252564808749126,0.9616251608329734,0.00038142288900592196,0.0001907478222956868,0.06131386861224359,0.00019130648665636384,0.41177255593669904,0.29979567476785934,0.37504526782057146,0.5560777170104706,0.2853657494244947,0.1320522651922546,0.12981975294877293,0.0010565585863272452,0.8691236884648998,0.9254377247451041,1.5302226394414902,7.76717472076416
7,amc_focal_tversky,1.4049467336047778,0.4780937531454997,0.7365263036706231,0.6426373330706899,0.04988492878196253,1.2606294974684715,0.1,0.0,0.6475954885973951,0.37054122329630523,0.9156561064176599,0.8444333129341585,0.9698994435417346,0.8671587251854828,0.8028014518519441,0.6705666767586681,0.7363808975331477,0.8823920096812414,0.33298146512479226,0.19974670836501474,0.2151179399730115,0.7365247835638605,0.46126221417501967,0.29976661288506545,0.3514260125665701,0.6709701043776587,0.005330123796423418,0.0026721834324625973,0.40204778156722154,0.0026828457295380546,0.4005938137370449,0.29318804536030274,0.4262431579099877,0.5731424358380747,0.2665246010320785,0.14989597376204752,0.14657115837340792,0.0015746795710175254,0.8518541620555745,0.9044831855594471,1.4008462632244283,7.549252986907959
8,amc_focal_tversky,1.3928283954208547,0.44992602904411877,0.7265075824477456,0.6324028955264525,0.041429507937705654,1.215343419801105,0.15,0.0,0.7342905683909794,0.6595407172376209,0.9237427554420427,0.8582917886155036,0.9748262368220387,0.8777465093686255,0.7951544871392722,0.659963853167611,0.6932247620290612,0.9322262926402839,0.4969618088398752,0.33063817790038563,0.49983509820533567,0.4941213647261572,0.6150286452137147,0.4440731882924898,0.5107281845447429,0.7728618028749795,0.7175986097214025,0.5595741046143958,0.6674883024664487,0.7758434566348835,0.6561858877285661,0.49856233099372055,0.5928190868113972,0.7437632292190761,0.6098630212583308,0.06159707575445218,0.06063250289411504,0.00036434133113433454,0.9390031557747506,0.9676713816405262,1.139042388309132,7.992578983306885
9,amc_focal_tversky,1.450343062931841,0.4753471099856225,0.7245825901627541,0.6326252533630892,0.04701196576405147,1.2388830598105083,0.2,0.0,0.7523179641393132,0.6173290212400022,0.9337320915538629,0.875701204319825,0.9641536475315355,0.905171573464199,0.8088895219462585,0.679105370030808,0.7584804908772329,0.866475993591705,0.5353554805296862,0.3655190549057573,0.45248682305842,0.6553825627238017,0.4973821605339054,0.33101041893036065,0.5478687504293801,0.45541524310558185,0.6426517510769579,0.4734612149732803,0.48390457051198205,0.9564048956240483,0.621069728521702,0.4622740147100516,0.5606851587192537,0.7334196737612841,0.5584631307135165,0.08781744953604204,0.08691249753148057,0.00032817393878401663,0.9127593285297354,0.959302242553818,1.1019380065527828,8.144470691680908
10,amc_focal_tversky,1.440421078692783,0.44202735207297583,0.7218726067380472,0.6275835338641297,0.039620774962135,1.196252291175452,0.25,0.0,0.7806253379966098,0.6063039684935871,0.9173238406739327,0.8472744437680596,0.9763116271027965,0.8650578951005701,0.7989093968012319,0.6651533153898305,0.7131977608053178,0.9080366407433014,0.4703717849590507,0.30750726244053916,0.34061963140520374,0.7598035773401302,0.5508230531432665,0.38009371756706617,0.4142198984438027,0.8218591791553429,0.6190441518289538,0.4482722258273666,0.8035741549914714,0.5034366843852683,0.6097870966831257,0.4502566303062006,0.567902861411449,0.7482840204060106,0.5467463299770904,0.08305871363284321,0.08220263327480298,0.00033344566431954027,0.9174639210608775,0.9532004150239531,1.1205415332859212,7.759596586227417
