,Background,C1,C2,C3,C4
Background,8290779,375358,111292,56670,33275
C1,172115,1826713,44452,201,10
C2,16963,6410,121507,5729,2
C3,25160,55,23905,233612,17778
C4,4908,149,158,29946,137189
