,Background,C1,C2,C3,C4
Background,8445564,243077,74866,62098,19188
C1,296840,1695802,33353,125,202
C2,37821,8889,124215,10125,0
C3,19284,2,20396,251297,27072
C4,7292,0,0,27624,129204
