epoch,train_loss,train_ce,train_dice,train_focal_tversky,train_ordinal,train_aux,lambda_ft,lambda_ord,amc_p,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,2.1146066784858704,1.232123809104616,0.8824828700585798,0.8164621923457492,0.26945112459361553,2.1146066784858704,0.0,0.0,0.0,0.18271652587545326,0.779754555887137,0.6390145192912648,0.9817699420791597,0.6466878469319095,0.6778893834525739,0.5127327282363269,0.5327521975171553,0.9317158724946627,0.11510618832328076,0.0610677310362048,0.06363364060633353,0.6022999648099672,0.09368750517111507,0.049145932487592844,0.06722832666253385,0.15449069914478206,1.1373070842857633e-05,5.6865677582978e-06,0.0002853881278530668,5.802146794313559e-06,0.22167361250445317,0.1557380195819707,0.16597488822846893,0.42212808464905155,0.06960168885507957,0.24505776646740732,0.16103921058613183,0.041808925038332626,0.7971518643755355,0.7445342881106958,2.154921680688858,7.282452583312988
2,1.839213115247813,0.9847229305993427,0.8544901873577725,0.7856965098868717,0.21361975744366646,1.839213115247813,0.0,0.0,0.0,0.44983981476160856,0.9032079650542973,0.8234997486091439,0.9373578658442787,0.8714589009102347,0.7584654550697084,0.6109096667240088,0.7524125556910275,0.7646165312203442,0.16808187213771705,0.0917518471930056,0.09838826867251671,0.5763191267569715,0.4331574302541211,0.27645242643897117,0.47209092336681563,0.4001564007853183,0.5080537370704503,0.34053085536261085,0.8241805466927784,0.36720626631851655,0.46693962363299923,0.3299111989296491,0.5367680736057846,0.5270745812702876,0.36976434648742956,0.16332301345428268,0.1353728501931141,0.012364789899476505,0.8522623599074094,0.8789931977925106,1.729020817713304,6.238687515258789
3,1.6771032268350774,0.8390672166239131,0.8380360007286072,0.7677720087495717,0.17208115468648347,1.6771032268350774,0.0,0.0,0.0,0.5544319904311924,0.7614128063262168,0.6147429992940459,0.9897657373933589,0.6186756079082707,0.5702520657718642,0.39884797321264925,0.40084423381630224,0.9876676726249296,0.3014265354355266,0.1774586391014972,0.22712904018555222,0.4479619682493013,0.5394735377284898,0.36936923202984207,0.4636114021114556,0.6450201324414946,0.6718331886997074,0.505834947074136,0.5758083028436939,0.8062953292717837,0.520746331908897,0.36287769785453117,0.416848244739251,0.7217362756468773,0.5042444206212413,0.07446491428361267,0.07257504685400094,0.0008581599518204485,0.9265667931941786,0.9566143848577858,1.7165424092249437,5.367155313491821
4,1.5238578956235538,0.7075239768759771,0.8163339177315886,0.7422729432582855,0.14158366696739738,1.5238578956235538,0.0,0.0,0.0,0.4835759306193409,0.7769242041939762,0.635221632917666,0.9833686745473124,0.6421200910213096,0.6754638420814446,0.5099625540935806,0.5337535982640269,0.919620884065548,0.13270809272090742,0.07106981624221882,0.07287847450722273,0.7411809230401005,0.5894074771391201,0.4178438972182547,0.4384183853132926,0.8990283185251439,0.5112024350662251,0.3433659801082255,0.8401358738919324,0.3673687264287573,0.4771954617519243,0.33556056191556993,0.47129658299411864,0.7317997130148874,0.4111060016420842,0.09678514842279988,0.0950750837429877,0.000741831970974025,0.9041830842860382,0.9375369110851303,1.642408387227492,4.466093063354492
5,1.4197589985348962,0.6187412437390197,0.8010177531025626,0.7253487787463448,0.11801944664594802,1.4197589985348962,0.0,0.0,0.0,0.4270283333768625,0.9190932196076732,0.8502983201512332,0.9535762844709318,0.8870170582632458,0.7885669283723226,0.6509372633461349,0.7447200603347084,0.8378999467088387,0.33250874879873143,0.19940659272376426,0.2726064168669875,0.4261508123576348,0.5371057585334724,0.3671528284881569,0.3778213151288784,0.9285847392765323,0.12613138370590637,0.06731068689082027,0.918181102980947,0.06771685523643355,0.4460782048526082,0.3212018428622191,0.5783322238278803,0.5650880883948599,0.33191529701270345,0.09575537020164716,0.09427903814251858,0.0006821249549591754,0.9050388369025223,0.9405569371345798,1.3980686258185993,4.4662017822265625
6,1.3750335750254719,0.5812759318135001,0.7937576371160421,0.715231136164882,0.10864523743194612,1.3750335750254719,0.0,0.0,0.0,0.35863412254352184,0.8804046054757099,0.7863596168594361,0.9559712544290618,0.8159094225641089,0.736943817697123,0.5834608373108824,0.6623873472982063,0.8304127593417302,0.22514890341339278,0.12685509440560905,0.13302963144376065,0.7321244796196338,0.5295703172411206,0.3601466451952462,0.4036925311435045,0.76951848524173,0.015332460568363489,0.007725455404361758,0.5211815001923001,0.0077806788511744825,0.37674887473,0.2695470080790248,0.4300727525194429,0.584959100763567,0.25668389374095896,0.12738458031386476,0.12470262376678848,0.0012529223428105224,0.874044453890401,0.9159912387994643,1.5080021023750305,4.970540761947632
7,1.3316566822203724,0.545054919001731,0.7866017561067234,0.707701828669418,0.09505707283758304,1.3316566822203724,0.0,0.0,0.0,0.6003718588811737,0.9273343108406563,0.8645138184362132,0.9639151895809461,0.8934284264992084,0.8007593562727691,0.6677219959657263,0.7486600626517256,0.8606521878491226,0.413572423867597,0.26069417229613284,0.30744319834522776,0.631600613500964,0.6109574602049264,0.43984071236224437,0.47024952704375483,0.8718245649062969,0.593187315731794,0.4216533745857981,0.8094550124407247,0.46811720336521795,0.6046191390192717,0.4474775638024754,0.5839519501203583,0.7080486424054003,0.5392390666014392,0.07447952503878065,0.07257434768980371,0.0007682302817730299,0.9266574220284233,0.9544267721452874,1.211798833175139,5.418945789337158
8,1.3075516007163308,0.5310728597370061,0.7764787375926971,0.6951264962553978,0.09021728722886606,1.3075516007163308,0.0,0.0,0.0,0.3473379826669075,0.9018614468753071,0.8212638052904254,0.9532015314181508,0.8557691375146681,0.7903460267421599,0.6533653790377756,0.7569820738105553,0.8267866117345228,0.19866590987372038,0.11028820859088567,0.11633263413381319,0.6797577866158062,0.5184010002285118,0.3498929199523396,0.4281951592047048,0.6567568466939318,3.472242316216907e-05,1.736151299798506e-05,0.0066815144764658906,1.7406440382940678e-05,0.3768619148168886,0.27839096727349966,0.32704784540638476,0.540829662871161,0.23903387750846475,0.13534431659693166,0.1307758019525802,0.0022110355648535564,0.8670131624825662,0.9085908171676209,1.401883447712118,5.8390398025512695
9,1.271887330846353,0.49977207624099473,0.7721152529120445,0.6895640522918918,0.0802568585865877,1.271887330846353,0.0,0.0,0.0,0.5855495623086076,0.9297314215449821,0.8686898225930285,0.9436576480558111,0.9162102557081715,0.7749704376203419,0.6326136620857848,0.7691013480526191,0.7809297912249147,0.4746102139786621,0.3111402857997261,0.4284873706845598,0.5318602226928623,0.6133792230844023,0.44235542499861025,0.4638969864546456,0.9049981697780138,0.48306785702814464,0.3184505379929228,0.7838383575205462,0.34910937046705254,0.5865069329278877,0.426139977719261,0.6113310156780927,0.6417243885407108,0.5236857646970696,0.08022512643883614,0.07921682398476547,0.00045190282714258545,0.9203312731880919,0.9538602361199955,1.2174499942497774,5.754767894744873
10,1.25800613517111,0.49208979884331877,0.7659163319251754,0.6827099333432588,0.07453493314625864,1.25800613517111,0.0,0.0,0.0,0.6281926903687938,0.933371127798347,0.8750664379370817,0.9434361243427393,0.923518620055948,0.7906953363017915,0.6538429562354815,0.8003571389182119,0.7812640231838517,0.40890800876699784,0.25699834517432163,0.3200403893290972,0.5661007496132044,0.6109085790695942,0.43979004539558025,0.5763112468463513,0.6499251272835962,0.6980981211002643,0.5362140821935378,0.585779327333591,0.8637075718015164,0.627152511309662,0.47171135724973035,0.5706220256068129,0.7152493679705422,0.5726382363122854,0.069665685958222,0.06840694161429942,0.0005468805291229966,0.9310461778565776,0.9646399518852395,1.1737639958208257,5.706395626068115
