,Background,C1,C2,C3,C4
Background,8275610,432319,51494,73405,34546
C1,173052,1858208,12025,200,6
C2,33705,17062,95036,4800,8
C3,17414,414,26289,240825,15568
C4,3123,335,36,37572,131284
