,Background,C1,C2,C3,C4
Background,8136935,524167,43986,71927,35216
C1,135184,1859659,10659,25,0
C2,48517,25532,116786,8526,5
C3,18760,252,20570,226367,31720
C4,8484,333,12,28229,182485
