,Background,C1,C2,C3,C4
Background,8190495,318592,114713,80171,37140
C1,251685,1749107,23177,69,80
C2,53735,16561,163354,5078,204
C3,13838,23,27869,245022,27690
C4,6168,384,47,27032,182102
