,Background,C1,C2,C3,C4
Background,8083928,419304,141647,70143,26089
C1,199818,1800395,23860,24,21
C2,49997,16405,168408,3962,160
C3,13139,35,35975,239219,26074
C4,9832,383,246,26837,178435
