,Background,C1,C2,C3,C4
Background,7977079,540132,115157,76806,31937
C1,159121,1846102,18689,83,123
C2,46567,22668,161273,8267,157
C3,16748,35,20747,256076,20836
C4,7060,369,4,35871,172429
