epoch,train_loss,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,1.8739180104299025,0.2987322685603243,0.9086727385483129,0.8326308437852029,0.9325557771471731,0.885982456921093,0.7679950766365377,0.6233701360055087,0.7236509130254066,0.8181286861734305,0.053364664860048386,0.027413796460348222,0.28258339019777523,0.02946445013643926,0.22991777955519402,0.12989101686893265,0.2845367885759188,0.1928908987985004,0.45649342524032605,0.2957508783604648,0.29825880974588376,0.9723547162464262,0.37694273657302657,0.26910645692381363,0.3972574753862461,0.5032096878386991,0.24659195655185617,0.1390389274247357,0.13005736343159602,0.004139481355765227,0.8658031552126387,0.9407633193085061,1.8107831613583998,7.330729007720947
2,1.4054999405687505,0.45407043185624985,0.9210890099412049,0.8537210376279607,0.9277797811706874,0.9144940500126347,0.7877454280182589,0.6498184838606028,0.7242436435559508,0.8634531188399053,0.16829988884338,0.09188179212213275,0.6659914341935798,0.09632029196591095,0.39932189897061005,0.24947045799764964,0.8115393986647034,0.26481195260174323,0.6833645090340897,0.5190233088223679,0.5419570444634486,0.9246151492817082,0.5096829312165847,0.3775485107006883,0.6859328802194206,0.5373001281723169,0.41699543228269326,0.05535288210854084,0.053306801536633225,0.0008148393812932408,0.9458783590820735,0.9722193891487827,1.3946573395620694,6.482434511184692
3,1.2758587842637843,0.6435678135708536,0.9351428347758208,0.8781861692961891,0.9446163208880408,0.9258574796727774,0.8103752607093764,0.6812024279123561,0.8529378044972187,0.7718586564617242,0.532958587037442,0.36328803149543015,0.40879170494345296,0.765460465739174,0.6509108980909519,0.48248177023287114,0.5266932396266049,0.8518041483007724,0.691231473204659,0.5281541075083865,0.7617654938381428,0.6326523990302535,0.6713690547606074,0.513781584287261,0.6375470607263549,0.7554439173829811,0.6250336527776844,0.0735507977663577,0.07237040717222058,0.000588254574498733,0.9270413382532807,0.961819578210368,1.1387398635799235,6.565756797790527
4,1.2067618810317733,0.580874702528856,0.9002728952154986,0.8186329965850146,0.8695746862522128,0.9332178712751722,0.5673960158019552,0.3960592194775844,0.8130161937348754,0.4357512753703073,0.5485726670941191,0.3779539317313461,0.48251954893666865,0.6355783235397252,0.5692803620085567,0.3978979157703862,0.4609524897663205,0.7441658557062751,0.6292639740595256,0.45907013615388265,0.5902748448718125,0.6737680373424244,0.5786282547410392,0.40774530078329985,0.5866907693274193,0.6223158729896829,0.5823723343874004,0.11696585958159497,0.08464805573977065,0.0150510631493582,0.9003008811108711,0.9351449748475538,1.8361022214997897,6.491908550262451
5,1.2113681178201328,0.6265286553529965,0.9315003280348432,0.8717834478335891,0.9661928582711174,0.8992128117352579,0.8245809345378372,0.7015208096983016,0.782634589167539,0.8712782555167196,0.5029156240335071,0.33593004650044067,0.3786388037459065,0.7486314097734607,0.6206108269843604,0.44991713660298815,0.5249493489608997,0.7589062529814478,0.6900420886461749,0.5267666103356137,0.6851653825413485,0.6949887128997095,0.65953736855047,0.503533650784336,0.5928470311039234,0.7684511577928343,0.6045228465546808,0.07538840258454554,0.07353707947624473,0.0007989837181255334,0.9256639368056298,0.9585289959798564,1.0983561995354565,6.433216094970703
6,1.1650003289634532,0.5885632897783182,0.9349782857420622,0.8778959839269717,0.9506814207720047,0.9197854826463125,0.8296133470427537,0.7088369855778415,0.835152071619418,0.8241476040428433,0.4365537618668636,0.2792253108671899,0.315497883271407,0.7083437965613351,0.5537450787308454,0.38288207050310946,0.6824854756125083,0.4658665191036672,0.6950410096491003,0.5326152122697786,0.575555170284647,0.8771351624461312,0.6287382993223908,0.47588989480447985,0.6021726501969951,0.7188732705384941,0.5617799500822698,0.08683467612964914,0.08418289188834309,0.0012511910092688296,0.9145659171023881,0.9556737452665008,1.139361947774887,5.909969806671143
7,1.1504793844439767,0.6605750213102666,0.9421867435030522,0.890692887157792,0.9474953341783401,0.936937306939586,0.8245303442065379,0.7014475789678858,0.838927241696309,0.8106192425540368,0.5294191621202033,0.3600068411631767,0.44988391395871113,0.6431160330135501,0.6569171490726642,0.4891114115701006,0.6354209390659084,0.6799187131489851,0.7407369784391747,0.5882305489452471,0.6815192121218936,0.811224986441536,0.687900908459645,0.5346990951616025,0.6514378267107055,0.736219743789527,0.6423577632106808,0.06720170642774398,0.06641389422028819,0.00032871817012127094,0.9332573876095905,0.9661222808147947,1.091025173664093,6.5966126918792725
8,1.1343181559985334,0.6278353232674724,0.9430881060916197,0.8923053203651172,0.9480191601809288,0.9382080836177451,0.8312495250284471,0.7112292510928644,0.8276270070007771,0.834903893942938,0.5387641294412909,0.368704423629631,0.4995280084100141,0.5846893676861791,0.5797743507129044,0.4082269257733313,0.7007125569572015,0.4944377659472814,0.6971627557278969,0.5351111651075056,0.569610468243431,0.8983233904872736,0.6617376902276348,0.505817941400833,0.6493695101528559,0.7030886045159179,0.6052337452940307,0.07093960163972969,0.069708993636596,0.00054404480027582,0.9297469615631282,0.9656996561274955,1.1367510773918845,6.455141067504883
9,1.104881701144305,0.664836866161914,0.9378083419055507,0.8828993663798493,0.9588616734333396,0.9176596659166085,0.8342335027289574,0.7156094335201989,0.83551902250806,0.832951932644239,0.5254023130196936,0.35630214102370994,0.39486040341937095,0.7848885875478887,0.6480280723167201,0.47932065677367425,0.5667894639018884,0.7564511102206207,0.7646146676269804,0.6189280766012106,0.7040694113378339,0.8365525904705893,0.6930696389230878,0.5425400769796984,0.6253095752917883,0.8027110552208345,0.6460150176544647,0.06471486050691647,0.0637965572406314,0.00039974161747136273,0.9358037011418973,0.9669802413119929,1.0410229929468848,6.454881429672241
10,1.1000294224782423,0.6034992745091767,0.9385528754709519,0.8842200932876212,0.956059004919449,0.921676317804452,0.8326948425412571,0.7133480369041271,0.8320819573953316,0.8333086312161602,0.5016681422691898,0.3348177773039912,0.37381624172779204,0.7624345001924915,0.5570499607101672,0.3860493749210657,0.6908366758939847,0.4666742992348202,0.6753811978708131,0.5098683461122612,0.5290301569041364,0.933672641644953,0.6416985358478569,0.48602088381036124,0.6064412579803112,0.7490225180721062,0.57803310028339,0.0859062009249075,0.08422972869792753,0.0007470247983342585,0.9150232465037382,0.9577255051454465,1.0965146517211741,6.530422687530518
