,Background,C1,C2,C3,C4
Background,8075391,397998,162273,76682,28767
C1,203915,1791232,28944,27,0
C2,26956,21249,185093,5482,152
C3,18583,31,36440,243804,15584
C4,11801,435,17,38038,165442
