,Background,C1,C2,C3,C4
Background,8254328,408019,43537,65842,36335
C1,204552,1893396,10358,52,208
C2,29840,14139,64661,7729,4
C3,15629,0,9510,211727,29201
C4,6884,1,0,33593,194791
