model,n_folds,selection_score_mean,selection_score_sd,selection_score_mean_sd,mean_dice_no_bg_mean,mean_dice_no_bg_sd,mean_dice_no_bg_mean_sd,minority_dice_c2_c3_c4_mean,minority_dice_c2_c3_c4_sd,minority_dice_c2_c3_c4_mean_sd,mean_iou_no_bg_mean,mean_iou_no_bg_sd,mean_iou_no_bg_mean_sd,dice_c1_mean,dice_c1_sd,dice_c1_mean_sd,dice_c2_mean,dice_c2_sd,dice_c2_mean_sd,dice_c3_mean,dice_c3_sd,dice_c3_mean_sd,dice_c4_mean,dice_c4_sd,dice_c4_mean_sd,iou_c1_mean,iou_c1_sd,iou_c1_mean_sd,iou_c2_mean,iou_c2_sd,iou_c2_mean_sd,iou_c3_mean,iou_c3_sd,iou_c3_mean_sd,iou_c4_mean,iou_c4_sd,iou_c4_mean_sd,weighted_kappa_fg_mean,weighted_kappa_fg_sd,weighted_kappa_fg_mean_sd,ordinal_mae_fg_mean,ordinal_mae_fg_sd,ordinal_mae_fg_mean_sd
Final AMC-Focal ResUNet-DS,5,0.7446563936140714,0.012241378296005587,0.7447 ± 0.0122,0.744139961186636,0.011102851082671197,0.7441 ± 0.0111,0.7066120052128643,0.014753640526722317,0.7066 ± 0.0148,0.600692788829432,0.012781995545520463,0.6007 ± 0.0128,0.8567238291079511,0.0035011832120510292,0.8567 ± 0.0035,0.6085853709623251,0.03397991842259187,0.6086 ± 0.0340,0.7426082995831627,0.01808909209082184,0.7426 ± 0.0181,0.7686423450931048,0.01700736056401379,0.7686 ± 0.0170,0.7493717298255069,0.005359887950392776,0.7494 ± 0.0054,0.43806829089578614,0.0349248470416369,0.4381 ± 0.0349,0.5908597497280195,0.023071053214167345,0.5909 ± 0.0231,0.6244713848684155,0.02243823556860095,0.6245 ± 0.0224,0.9744720213036222,0.0025641519681305104,0.9745 ± 0.0026,0.04664332677758966,0.004892213240680475,0.0466 ± 0.0049
TransUNet-style 120,5,0.7284332597794319,0.011039713140290086,0.7284 ± 0.0110,0.7280146633335952,0.010351116437896692,0.7280 ± 0.0104,0.6877157898897306,0.01316367266118168,0.6877 ± 0.0132,0.5824479097187852,0.012477614487293912,0.5824 ± 0.0125,0.848911283665189,0.005412475434369502,0.8489 ± 0.0054,0.5711646548676573,0.031037511153870212,0.5712 ± 0.0310,0.72046749764562,0.030422534465987437,0.7205 ± 0.0304,0.7715152171559144,0.016239216267999575,0.7715 ± 0.0162,0.7375162808972876,0.008172223396396299,0.7375 ± 0.0082,0.40026749524934535,0.030277005154758035,0.4003 ± 0.0303,0.5637593743482084,0.03619882730248607,0.5638 ± 0.0362,0.6282484883802996,0.021437150438109422,0.6282 ± 0.0214,0.9739938684551491,0.0031227554691634525,0.9740 ± 0.0031,0.04876788537146223,0.006130852966241679,0.0488 ± 0.0061
U-Net 120,5,0.7235322418045358,0.012209928782103509,0.7235 ± 0.0122,0.7227241835455744,0.011586934167758816,0.7227 ± 0.0116,0.6824722133276867,0.014717720226348218,0.6825 ± 0.0147,0.5765359237866587,0.013734064181181272,0.5765 ± 0.0137,0.8434800941992375,0.011779064757857966,0.8435 ± 0.0118,0.5527384387590756,0.025084887520780988,0.5527 ± 0.0251,0.7279464430037729,0.019084905762460344,0.7279 ± 0.0191,0.7667317582202117,0.014250361914417756,0.7667 ± 0.0143,0.7294690294255648,0.017548054407506373,0.7295 ± 0.0175,0.38225208821184115,0.023935713941959112,0.3823 ± 0.0239,0.5725432015377868,0.02352659536406904,0.5725 ± 0.0235,0.621879375971442,0.018625322336708713,0.6219 ± 0.0186,0.9723165874425147,0.0032752642081382752,0.9723 ± 0.0033,0.050846644913696004,0.00458677032485512,0.0508 ± 0.0046
nnU-Net 120,5,0.7198438296100907,0.011959000346555561,0.7198 ± 0.0120,0.7302035957783657,0.010979386887267538,0.7302 ± 0.0110,0.6839341724862557,0.013894291632794112,0.6839 ± 0.0139,0.5861339963073063,0.012551692490177185,0.5861 ± 0.0126,0.8690118656546956,0.005379134584450563,0.8690 ± 0.0054,0.569900775618825,0.02110525801001363,0.5699 ± 0.0211,0.7329090544151842,0.01437040198211728,0.7329 ± 0.0144,0.7489926874247578,0.010967975022444464,0.7490 ± 0.0110,0.7683972634800093,0.008440489181724827,0.7684 ± 0.0084,0.39874716754621103,0.020566214544140222,0.3987 ± 0.0206,0.5785812356119422,0.017918203326211527,0.5786 ± 0.0179,0.5988103185910628,0.014063967323489591,0.5988 ± 0.0141,0.9042224738482776,0.004778531638502564,0.9042 ± 0.0048,0.05877500423943949,0.0019052197964906073,0.0588 ± 0.0019
Attention U-Net 120,5,0.715723134327972,0.011709665187788354,0.7157 ± 0.0117,0.7161166056097594,0.010578823037394092,0.7161 ± 0.0106,0.672820132715388,0.014474610195126521,0.6728 ± 0.0145,0.5701435743846137,0.012225260388782338,0.5701 ± 0.0122,0.8460060242928742,0.005367509450154429,0.8460 ± 0.0054,0.5334932889316131,0.02975815607557988,0.5335 ± 0.0298,0.7167938946250287,0.019606679008767447,0.7168 ± 0.0196,0.7681732145895218,0.028858363146051166,0.7682 ± 0.0289,0.7331414284519322,0.008096794200729904,0.7331 ± 0.0081,0.36423284021997687,0.027583647800882925,0.3642 ± 0.0276,0.558885433711686,0.023672408679501607,0.5589 ± 0.0237,0.6243145951548599,0.03786915633752722,0.6243 ± 0.0379,0.9719607301581143,0.003179652772834422,0.9720 ± 0.0032,0.05207190054722906,0.004174530912835594,0.0521 ± 0.0042
