model,delta_selection_score_mean_vs_amcfocal,delta_mean_dice_no_bg_mean_vs_amcfocal,delta_minority_dice_c2_c3_c4_mean_vs_amcfocal,delta_mean_iou_no_bg_mean_vs_amcfocal,delta_dice_c2_mean_vs_amcfocal,delta_dice_c4_mean_vs_amcfocal,delta_weighted_kappa_fg_mean_vs_amcfocal,delta_ordinal_mae_fg_mean_vs_amcfocal
Final AMC-Focal ResUNet-DS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TransUNet-style 120,-0.01622313383463958,-0.016125297853040732,-0.01889621532313368,-0.01824487911064676,-0.037420716094667794,0.002872872062809617,-0.00047815284847307904,0.0021245585938725747
U-Net 120,-0.02112415180953564,-0.021415777641061506,-0.024139791885177564,-0.024156865042773257,-0.055846932203249544,-0.0019105868728931386,-0.002155433861107503,0.004203318136106346
nnU-Net 120,-0.024812564003980686,-0.013936365408270257,-0.022677832726608615,-0.014558792522125663,-0.038684595343500106,-0.01964965766834703,-0.07024954745534462,0.01213167746184983
Attention U-Net 120,-0.028933259286099466,-0.02802335557687652,-0.03379187249747628,-0.030549214444818285,-0.07509208203071205,-0.0004691305035829929,-0.0025112911455078546,0.0054285737696394
