,Background,C1,C2,C3,C4
Background,8187484,455477,61592,59526,48152
C1,147621,1841402,16308,45,151
C2,35768,23880,131381,8335,2
C3,19203,56,21641,214154,42615
C4,5795,328,77,24199,189144
