,Background,C1,C2,C3,C4
Background,8118084,484516,88026,63757,57848
C1,155493,1839284,10462,7,281
C2,47771,23155,120440,7999,1
C3,22149,61,27478,218352,29629
C4,4260,121,65,36357,178740
