,Background,C1,C2,C3,C4
Background,8216278,442899,43962,67894,37028
C1,167069,1931214,10238,36,9
C2,19579,14780,81160,854,0
C3,13725,0,21136,217051,14155
C4,4815,1,204,62716,167533
