,Background,C1,C2,C3,C4
Background,8158103,411833,94027,97166,46932
C1,195477,1888292,24140,42,615
C2,15449,8131,84942,7783,68
C3,8305,0,12610,209336,35816
C4,3705,0,10,25025,206529
