,Background,C1,C2,C3,C4
Background,8185422,471141,40200,84984,30484
C1,153895,1840119,11467,45,1
C2,50358,24521,111926,12554,7
C3,17836,179,16081,250185,13388
C4,7143,310,26,51250,160814
