,Background,C1,C2,C3,C4
Background,8179480,503841,78274,73890,31889
C1,126619,1901055,15600,215,2
C2,19712,14425,107644,8828,2
C3,20220,237,18556,245280,16217
C4,4841,170,171,30626,136542
