,Background,C1,C2,C3,C4
Background,7989377,612479,87750,88063,34562
C1,122554,1870249,11787,170,767
C2,39645,25394,122377,11672,278
C3,16806,28,20365,242194,18276
C4,5932,0,0,51233,162378
