epoch,train_loss,train_ce,train_dice,train_focal_tversky,train_ordinal,train_aux,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,1.987106202678247,1.115250027315183,0.8718561773950403,0.8069904737851836,0.23257344046776945,1.987106202678247,0.5167936574568195,0.8169073188489727,0.6904846356197607,0.9801463432686576,0.7002789645437113,0.6436437103696286,0.4745388179274281,0.4803965359490602,0.9749482305648293,0.28022008912093216,0.1629395060078922,0.27328943792580973,0.2875114111734053,0.4430230223790741,0.28454050942745285,0.330691203645438,0.6709297911438319,0.6323960567139056,0.4624116944225659,0.5120227026538942,0.826762866499919,0.49982071964588515,0.34610763194633476,0.3990999700435505,0.6900380748454964,0.45187972273797056,0.08081187290776734,0.07632880598635558,0.0019413916875167976,0.9217298023261277,0.9571960792027172,1.7459736737337979,6.527538776397705
2,1.6933355710723184,0.8523709570819681,0.8409646139903502,0.7697155895558271,0.16866158287633548,1.6933355710723184,0.5486567849926776,0.8368831629052277,0.7195177098421087,0.9784887672489522,0.7310819473524914,0.657986418379822,0.49029788326393253,0.49797811202865067,0.9695032776920931,0.25028677977460934,0.1430444583040691,0.2188857327501909,0.29220629395181263,0.5338304388350928,0.36409870520770576,0.413110639652446,0.7542337294108303,0.6840469658729138,0.5198110784604589,0.6600524338541144,0.7098518285711359,0.5315376507156095,0.3793130313090416,0.4475067295713505,0.6814487824064679,0.4893880614942054,0.07901690891553603,0.074858756514794,0.0016764368392926414,0.9234648066459133,0.9556265288147152,1.563168398358605,4.84851861000061
3,1.5368562571027062,0.7131200419230894,0.8237362151796167,0.7502659477970817,0.13471757726405154,1.5368562571027062,0.5637257953963545,0.8867818444157216,0.7965930486916013,0.9760417345442823,0.8124798362639373,0.73258788792845,0.5780186893835624,0.5970050770667689,0.94784911895975,0.2964194733603902,0.173997923036307,0.2920998680308208,0.30086875395000645,0.5384640647539197,0.36842341797313244,0.43146122002812864,0.7160436592322104,0.6666467250581765,0.4999775660259757,0.5653777366244525,0.8121097006053114,0.5585295377752342,0.4051043991047444,0.47148597543754267,0.6942178081868196,0.5005100877241621,0.07846183511437312,0.07462027153280429,0.0015677286666962514,0.9238119998004994,0.9586088142928704,1.4153331518173218,4.976413011550903
4,1.441452371803197,0.632264559919184,0.8091878098520365,0.7317107739773664,0.12074703215198083,1.441452371803197,0.5590575494195404,0.8801104757120103,0.7858904442128543,0.9745642012120987,0.8023477823039356,0.7383926731120577,0.5852793158180848,0.6100523262508869,0.9351192978204684,0.34639193263167234,0.20947644092166634,0.2865963197598521,0.4377175646800137,0.5316114017102322,0.362037271556998,0.3719275515103668,0.9315750044512215,0.6049889889889728,0.43368043994900807,0.7307231013269927,0.5161722304969634,0.5553462491107337,0.39761836706143927,0.4998248247120246,0.7051460243621668,0.49433077444362583,0.07386363636363637,0.0717923618204517,0.0008251995611546173,0.9273824386183936,0.958552100201449,1.372946703975851,5.068524122238159
5,1.382987846027721,0.5858434154228731,0.7971444326368246,0.7164976115931164,0.10297342474487695,1.382987846027721,0.5666657886240345,0.8624691688399528,0.7581941035922621,0.9637106961156291,0.7804770437815342,0.6816727680247159,0.5170740249394286,0.534456586918361,0.940822536919219,0.2125450013846529,0.11890928809357494,0.20279258348138113,0.223282806496583,0.5975811346124514,0.42610745574027487,0.5179189127928049,0.7062038707423108,0.7132771943514059,0.5543363273116673,0.6804335599556399,0.7494522713090033,0.5512690245933065,0.4041067740212364,0.4839004107870467,0.654940371366779,0.5078011101161701,0.06442565886003025,0.0632669648794739,0.0004758196724639258,0.9362572154480622,0.9660441517634042,1.4348549355160107,4.5027337074279785
6,1.3729726577346975,0.5775313976813446,0.7954412549734116,0.7152192734859206,0.09724164411256259,1.3729726577346975,0.6251432539664386,0.8813183858192786,0.7878187811862105,0.9832872338730827,0.7985111829229162,0.7118604795972259,0.5526268454015308,0.5654755125117551,0.9605076371447457,0.46286594185991387,0.30112268959805377,0.36858704731441877,0.6219515865292666,0.6031968155398137,0.4318409510019319,0.5024644980277191,0.7544453738884211,0.6652375147473107,0.49839392558397533,0.7207187576398175,0.6176876511662581,0.6107901879360661,0.445996102896373,0.5393114538734276,0.7386480621821729,0.5771000907156795,0.07526712735119716,0.07241064759170399,0.0013644551554963988,0.9262248972527997,0.9564614315621099,1.3183516643264077,6.22634482383728
7,1.315233271230351,0.5327849633653056,0.7824483100663532,0.7006063014268875,0.08643636096861552,1.315233271230351,0.49912215146133665,0.9124679356788299,0.8390262371237633,0.9704103357089852,0.8610550495101629,0.789373423623239,0.6520370847844142,0.7058727327551374,0.8952798940128909,0.423756334582594,0.2688393576956129,0.30528773860278485,0.692475146213462,0.5236292146768534,0.35467324325456767,0.3778173049729786,0.852722319085936,0.3113353484730892,0.18436777733908036,0.8761278353990901,0.18930232346282097,0.5120235803389439,0.3649793657684188,0.5662764029324978,0.6574449206937775,0.4195736325775122,0.10566346199399536,0.10463685863386675,0.00046652839439555665,0.8948966129717377,0.9377089781314616,1.2978461317040704,6.589503765106201
8,1.2940158979459242,0.5187883861362934,0.7752275141802701,0.6914622069082477,0.08056123616089197,1.2940158979459242,0.6509285904936997,0.9189917706439167,0.8501246759160439,0.9692274110062252,0.8737070101771041,0.7854076203972307,0.6466429672925308,0.6890602087572039,0.9130782083711617,0.46608152134172326,0.3038502552947965,0.5065190391259774,0.43162324568881194,0.6033872893493678,0.43203622933395125,0.4784577865520751,0.8166117398855501,0.7306762063676507,0.575642093871665,0.6797475549283362,0.7898543793242877,0.6463881593639932,0.48954288644823585,0.5884461473408982,0.7377918933174529,0.6000483390195805,0.05873618401270556,0.05761657696491239,0.00046818463426102506,0.9419152384008266,0.9698313927275333,1.1935605731877414,6.7136218547821045
9,1.2670115225694396,0.49774917723103,0.7692623348398642,0.6839827258478511,0.07059059480459175,1.2670115225694396,0.5867135422023467,0.9118506009209111,0.8379829108876214,0.9698866417249623,0.8603679363375736,0.8046447927781809,0.6731428347966072,0.7324513185011555,0.892625728798461,0.3485617641319151,0.21106557699912537,0.23531488677004386,0.67193503405793,0.5301616506768215,0.3606938483547847,0.5069252671874892,0.5556305829629368,0.6854385550603422,0.5214199440421029,0.5420242636151583,0.9320497579061535,0.5922016906618149,0.4415805510481551,0.5041789340184617,0.7630602759313704,0.521387323289693,0.07801974018620632,0.07691948860821393,0.0005079012218583313,0.9225726101699278,0.9622064102998646,1.1853401091965763,4.938421964645386
10,1.2402037964625792,0.47858328626237134,0.761620513417504,0.6753518432378769,0.06828309915197844,1.2402037964625792,0.5259621884832385,0.9180845514326035,0.8485732897596322,0.9601465213262967,0.879553202815495,0.7903090016809089,0.6533147744168317,0.7112781960885652,0.8890974791164572,0.3160299391860202,0.18766957117590374,0.32792022177395835,0.30497176048070856,0.5538264846238108,0.3829599136862532,0.4003969888768151,0.8978932975889025,0.481394270996946,0.31699753385822893,0.7590539904260418,0.3524639819989545,0.5353899241219214,0.3852354482843044,0.549662349291345,0.6111066297962556,0.4504168982689256,0.08879155269194204,0.08784045566004801,0.00040368507398393425,0.911755859265968,0.9509507228530668,1.2701987461610273,5.06430196762085
