,Background,C1,C2,C3,C4
Background,8195736,477090,85306,68478,18183
C1,123408,1878697,24000,153,64
C2,24281,10301,130385,16079,4
C3,17806,8,11859,267496,20882
C4,5478,0,0,35717,122925
