,Background,C1,C2,C3,C4
Background,8209711,430025,69652,67975,34868
C1,151636,1817621,36131,46,93
C2,29295,7038,151548,11485,0
C3,18643,21,17376,230574,31055
C4,8394,139,32,27771,183207
