,Background,C1,C2,C3,C4
Background,8160175,387662,129300,88107,46987
C1,198474,1784822,21951,1,279
C2,33109,13406,147186,5665,0
C3,9995,46,33029,228936,25663
C4,3399,227,123,38352,177442
