epoch,train_loss,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,val_loss,epoch_seconds
1,1.9998470897024327,0.2826497789319154,0.7163265073160253,0.5580285885769056,0.9857632500282838,0.5625624203450856,0.5888507575763359,0.41728453651364206,0.42463754245559404,0.9601566072159539,0.06792417489325364,0.035156060652795994,0.2244605126184553,0.04001685342535637,0.43464358017498933,0.27766429080961486,0.33096926298627705,0.6328942550282147,0.2433145888460298,0.13850777566724137,0.1412126998444871,0.8785067162241165,0.33368327537265213,0.21715316591082356,0.28032000447620337,0.6278936079734103,0.24862744797142425,1.9236936325376683,5.1818389892578125
2,1.7104433327913284,0.4151752084222351,0.8225124838312116,0.6985318082245446,0.9733820145997252,0.7121349860211328,0.6530216490135758,0.48480485861955586,0.4946815696059742,0.9604458080095608,0.12384283274212539,0.06600877309395659,0.09254853315139633,0.18711314868131038,0.40877690078221374,0.25689477546119105,0.3642176552644411,0.46575894701831677,0.633623744878586,0.4637256703661637,0.48658828009245075,0.9079997995836392,0.45481628185412526,0.31785851938521675,0.3595090095285656,0.6303294258232068,0.3887478261343083,1.6897035864266483,4.442353963851929
3,1.5637467503547668,0.43836883648869995,0.8695913891743257,0.7692717313424902,0.9734864051430584,0.7857341687933501,0.7159394791602969,0.5575589838180781,0.5759123442769397,0.9459334130131335,0.21283704237953435,0.1190921294960803,0.21036515161164435,0.21536771565862706,0.49037600695778066,0.3248332096057686,0.3366383404211555,0.9025629138405107,0.5193699125715858,0.35077627895137337,0.7142355989634671,0.40804307128897715,0.4846306102672994,0.3380651504678251,0.4592878588183017,0.6179767784503121,0.4075276539696336,1.5353387025269596,4.373959302902222
4,1.4563187740065835,0.45766324573471784,0.8706123273378865,0.7708711086652293,0.9763139578915733,0.785562589087825,0.7330307615117124,0.5785702914037159,0.6005666471055159,0.940464526281616,0.3414215787986329,0.20585193587128015,0.2816872474949122,0.43330858822465046,0.46806105989729885,0.30553506255668395,0.31094963529923225,0.946081049756577,0.47171792658255685,0.30865894116505105,0.8055026897392982,0.33351552998727657,0.5035578316975502,0.3496540577491828,0.4996765549097396,0.66334242356253,0.42706685509282954,1.4113915887745945,4.259736061096191
5,1.396799695762721,0.5143345811585912,0.8840622524039584,0.792214668164429,0.960207207623064,0.8191066484752831,0.7101281285675465,0.550541603623716,0.5743337451301823,0.9300203886559446,0.17065701559019558,0.09328869274082802,0.19677038978053082,0.15066260044339802,0.5729283323427194,0.4014713103254682,0.5360361283222592,0.6152740124097364,0.7341538797398737,0.5799708732282626,0.6599495580881257,0.8271591442222787,0.5469668390600838,0.4063181199795687,0.49177245533027447,0.6307790364328394,0.49257974255759623,1.423302111300555,4.106464862823486
6,1.3754423653537577,0.3201342897653754,0.9152952141879599,0.8438196513558707,0.9545625926887906,0.8791308353128727,0.7905703241367003,0.6536720074876495,0.7181065501272924,0.8793000542999377,0.26009784619055587,0.14948992713244383,0.22609671707254794,0.3061354493745018,0.5065376619449886,0.33917002728349377,0.362859194566868,0.8385858117573265,0.036955349703473334,0.01882552681513946,0.8480572597119672,0.018889238099141448,0.39854029549392955,0.2902893721796816,0.5387799303696689,0.5107276383827268,0.2678636192796726,1.4111838882619685,4.154144048690796
7,1.3177321295846591,0.364483564024762,0.9016110627934655,0.8208486377206946,0.9693589500598608,0.8427142910802035,0.7912998176268786,0.6546700572786108,0.7013685329881152,0.9076856108145096,0.2829954318901684,0.16481926556648863,0.1864569935915489,0.5868252359980846,0.5035675040856233,0.336512008032761,0.37098587830755403,0.7836119985621349,0.16461567156445547,0.08969002786722688,0.9141883804433688,0.0904515288576684,0.4356196062917815,0.3114228396862718,0.5432499463326468,0.5921435935580994,0.31705953584674906,1.3581650311296636,4.216572999954224
8,1.293895186348395,0.36955010907784347,0.9087064248678601,0.8326874138866153,0.9695205977377667,0.8550712072799717,0.7811969432978295,0.6409542042104714,0.6796024845270431,0.918505210849812,0.389617172648727,0.24194071498487218,0.36690121498389916,0.4153316011757062,0.49277328829553896,0.32694038957037974,0.33652085427691075,0.919897604386049,0.0890442548826024,0.046596712200225265,0.829372089287916,0.04704773096841862,0.43815791478117444,0.3141080052414872,0.5530991607689422,0.5751955368449965,0.32381157194228943,1.385466368360953,3.6543819904327393
9,1.2667657218196176,0.5031846931725629,0.886434222037289,0.7960322053530028,0.9816658427163931,0.8080455448796102,0.7743233983363925,0.6317517991984228,0.6571383966414885,0.9423732515194213,0.34464325852262584,0.2081987827077312,0.2365716679539668,0.6344963534403742,0.5136991737786162,0.34562261200149597,0.35736475587101496,0.9131854509538812,0.5608320788285035,0.3896918980600824,0.8438117724576429,0.419986061955953,0.5483744773665344,0.3938162729919331,0.5237216482310283,0.7275102794674074,0.4730581703765819,1.2725819105451757,4.0982420444488525
10,1.2392463467337869,0.46369266071882737,0.9110001609110113,0.8365475624616399,0.9565743804686001,0.8695710541405454,0.7872163273481951,0.6490987181802276,0.7109454772329994,0.8818185943146072,0.20199656641444222,0.11234492806925456,0.17490566868787072,0.2390176860648135,0.5414297936472525,0.371205850283432,0.39223782371933,0.873782624324304,0.5398103998849982,0.3696851421503644,0.859520990258524,0.39345822913960393,0.517613271823722,0.37558365967081964,0.534402489974681,0.5970192834608322,0.42774558664889767,1.328639955683188,4.285019397735596
11,1.2532341940836473,0.5209771569839922,0.9131009757551428,0.8400973369072038,0.9673336941495079,0.8646264493066502,0.7625152786963643,0.6161815702201866,0.648463906198889,0.9252470796952575,0.47510366205497845,0.3115645635920648,0.5109299868966855,0.44397239248415254,0.38585507548196335,0.23904611638089115,0.5445983515204624,0.29876809476296495,0.6214600261775773,0.4508103050899495,0.4591397194472384,0.9613150954482282,0.5612335106027209,0.40440063882077304,0.5407829910158188,0.6573256655976508,0.49413958790483975,1.2227762937545776,4.243880987167358
12,1.2415716004642574,0.429914872054287,0.9030419208031638,0.8232237292644284,0.963332520384184,0.8498534593566592,0.7987753150778867,0.664967449557265,0.7205623605606576,0.8960348078086164,0.24107155416144765,0.13705591875087283,0.15729407265774137,0.5157900544726525,0.5080272969890859,0.3405070990667914,0.3940913621323933,0.7146360554844234,0.4176922840044611,0.2639766461238939,0.839356435643449,0.2780229841078842,0.4913916125582203,0.3516267783747058,0.5278260577485603,0.601120975468394,0.3889303783849982,1.303023724393411,4.64488673210144
13,1.2177184278314763,0.48479949934278554,0.9269843054520629,0.8639056354554095,0.9514111771494665,0.9037803253228373,0.803640315967124,0.6717380455834887,0.7644730636578957,0.84703771128486,0.27634209494527284,0.16032305142156317,0.6111960161413907,0.17853094308958506,0.5347134252871347,0.3649207155207275,0.37151090962391675,0.9536431405352604,0.5370627055878361,0.36711259439430594,0.7647118233233938,0.4138596994666004,0.537939635446842,0.3910236017300213,0.6279729531866494,0.5982678735940765,0.44937274194008126,1.2520532743497328,4.615465879440308
14,1.1899689957499504,0.48137964894541074,0.9185553884987117,0.849378117686074,0.9578234357796989,0.882380296204218,0.8135541425115486,0.6857069265964945,0.7956273302109701,0.8323074184491117,0.3940616021296506,0.24537778201967117,0.2768381210115323,0.6834665890873728,0.5136417477217646,0.34557062332346417,0.35851779918054116,0.9053848402083889,0.42571076579610445,0.27041458236953686,0.8418466922402797,0.28488724304576846,0.536742064539767,0.38676747857729166,0.5682074856608308,0.6765115226976605,0.44447137188250657,1.195195584134622,4.2627854347229
15,1.1761897856538945,0.5827304701016853,0.9234471400664512,0.8577815121158584,0.9679097676115147,0.8828900422605799,0.8041645481675276,0.6724709047011805,0.7188526628355548,0.9124524376884434,0.46777958786086055,0.3052952330845087,0.5292161730802999,0.4191236218813429,0.545735558259451,0.37526569624867023,0.4797079637679376,0.632840504049779,0.6608649048294637,0.49350129588329833,0.5118272471769508,0.932354937301534,0.6196361497793257,0.46163328247941443,0.5599010117151858,0.7241928752302748,0.5581266836499251,1.1507213373075833,4.08892560005188
16,1.1761739003387364,0.5746853258018112,0.9088987994406007,0.8330105392374375,0.9780089245513002,0.8489112461986065,0.7733910103117891,0.6305114480763555,0.6524286195950703,0.9494157894658065,0.3725469365326427,0.2289140896874259,0.2934238164485293,0.5100970075137932,0.570773393615554,0.39935822007921834,0.5821569182290862,0.5598265187170797,0.7145004190872439,0.5558153652449425,0.592047084040564,0.9008166965013277,0.6078029398868074,0.45364978077198553,0.5300141095783124,0.7300390030495018,0.5526069164118136,1.158265009522438,4.156868934631348
17,1.1503562852740288,0.5336672042087247,0.917552907509658,0.8476653629312093,0.9788342589167034,0.8634926842022176,0.7978069069243738,0.6636262606394682,0.6891484770339688,0.9471435687477608,0.46472122910425007,0.3026950140352107,0.44823247621087037,0.48246942808701165,0.534514676275824,0.3647356050741501,0.38054855385140657,0.8977253257812907,0.5137191396742168,0.34564068837003853,0.9023396364634286,0.359073165621297,0.5776904879946662,0.41917439202971685,0.6050672858899186,0.6716028720593401,0.5043183483514303,1.1684237826954236,4.097037315368652
18,1.14856686510823,0.3906501502005725,0.8989771209084831,0.8164926796528088,0.9793786836320805,0.8307750897587673,0.76409725553155,0.61825031051305,0.6428753792190653,0.9416582274883313,0.3969793516619969,0.2476445653233359,0.32009206507241916,0.5224812656119637,0.5186516118292211,0.35012129217602245,0.35859696502057153,0.9367619738702742,0.1318371186668403,0.07057046255664742,0.8452797673537372,0.07149396701329254,0.45289133442240204,0.32164665764226397,0.5417110441664483,0.6180988584959654,0.3491560273860195,1.299752969633449,4.036296129226685
19,1.1419091468507594,0.5711844241414679,0.914687099498346,0.8427865356392233,0.9835296937748468,0.8548513991519279,0.7819345865790814,0.6419479429951385,0.6617894676125384,0.9553798079008612,0.537952317191265,0.3679444408802089,0.5051282164199586,0.5753388240722803,0.5764771127511563,0.40496511711538313,0.4223066357694267,0.9079346522479361,0.5288737883361111,0.3595026613916006,0.7793486358959113,0.4002404995832069,0.6063094512144035,0.44359004059558277,0.5921432389244587,0.7097234459510712,0.5477677394261775,1.1498610390858217,3.9150562286376953
20,1.1428078318184072,0.3826025566056608,0.9312199330202094,0.8712923844581936,0.9644536444151077,0.9002003011496171,0.8252380656367965,0.7024725959341955,0.7791867739131865,0.8770747040553387,0.5041661995248797,0.3370469362069114,0.43592679438262716,0.5977348193773965,0.48904676332599933,0.3236677029148287,0.3381465231713501,0.8831655294974994,0.007049537289057927,0.0035372365851325193,0.8662207357762963,0.0035391700031427308,0.4563751414441834,0.34168111791026706,0.604870206810865,0.5903785557333443,0.333420833379979,1.3172619884664363,4.140671730041504
21,1.1255668977444822,0.6159893620181669,0.9077036975498539,0.8310050079944153,0.9864026323361837,0.840634681501199,0.777957525238058,0.6366043253853404,0.6602831958739559,0.9466713736588889,0.4802572154647447,0.3160121701855026,0.3485247468034781,0.7720825015298108,0.6084034099422396,0.4371981178230588,0.49970744766982605,0.7775314191265876,0.7053180729075531,0.544780967547398,0.6697878266568088,0.7448290312148078,0.6429840558881488,0.48364889523532495,0.5445758042510171,0.8102785813825237,0.5979928994381791,1.0930146683346142,3.980767011642456
22,1.1173798631538043,0.6310980302699454,0.9265666144253947,0.8631803583502358,0.9773247144357456,0.880820532280644,0.805586737135193,0.6744623173414777,0.7234754744454817,0.9087227446950308,0.5179263511146669,0.3494606030572091,0.41463936798937356,0.6897414804931287,0.6211106893497501,0.45044274732744843,0.5429244370040107,0.7256046145214743,0.6960941480570034,0.5338530746063672,0.5703409553732306,0.8929867952974636,0.6601794814141534,0.5020546855831256,0.5628450587030241,0.8042639087517743,0.6117103961738067,1.0618827072056858,4.0719053745269775
23,1.116715362126177,0.5501374095937558,0.9280670041862854,0.8657882608434692,0.9670068637197013,0.8921418424006352,0.8091064251944352,0.6794111936715561,0.734652876412144,0.9003528748304017,0.45036539310411555,0.2906268297700545,0.3800048280856509,0.5527020655477587,0.47268297291126155,0.30948582679802616,0.5706499270572198,0.40342460921357604,0.6410408575656636,0.47171459210859845,0.47827432061012864,0.971745853887349,0.593298912193869,0.4378096105870588,0.5408954880412858,0.7070563508697714,0.5213630745270136,1.143677683039145,4.068521976470947
24,1.1158656775951385,0.6027361557930416,0.9207356252341518,0.8531140717341938,0.9800638746150339,0.8681802599137485,0.8013922918202838,0.6686026515191784,0.6982861320042354,0.9402216973393979,0.44650418678240306,0.287418983033887,0.34454951763230107,0.6341552722128831,0.565627500988709,0.3943379431623196,0.5271274635277303,0.6101945449475554,0.7298580675989321,0.5746271727437683,0.618301418383624,0.8905316953853737,0.6358455117975821,0.4812466876147883,0.5470661328869727,0.7687758024713025,0.5806632517900147,1.1113829287615689,4.039087295532227
25,1.095725190910426,0.5718023166969659,0.9281304676980711,0.8658987308882956,0.9693888407318404,0.8902407347242703,0.8207802375401565,0.696036704666495,0.7499141958084622,0.9064375598034785,0.45142390367808133,0.29150902222388375,0.4075500365702206,0.5058836511741969,0.5764696519638673,0.4049577536293137,0.42395405084334886,0.900375920905405,0.6045207541678856,0.4331993872165502,0.7837133881346878,0.49202206401477194,0.6132986368374977,0.4564257169340607,0.5912829178391799,0.7011797989744631,0.5441381032699447,1.1200147501446984,3.9351418018341064
26,1.1034989458593456,0.6216520254013448,0.9299435113905246,0.8690602050355064,0.9725237747869631,0.8909354509658215,0.8296991471297158,0.7089622682020549,0.7655812569214284,0.9055385442330075,0.4798722620471918,0.31567890649337604,0.41209093755509363,0.5743406598918284,0.5710979724857893,0.3996760879955498,0.43489131275080234,0.8315309958376307,0.7446368010949297,0.5931644338024271,0.709786759696934,0.7830857736297315,0.6563265456894066,0.504370424123352,0.5805875667310646,0.7736239933980495,0.5985356785426369,1.0653982677242972,4.228529214859009
27,1.0965049300681462,0.6357690520956346,0.9297411663945966,0.8687068372634291,0.9780617518553393,0.8859703064978655,0.8057741301690713,0.6747250671124283,0.7069746629072222,0.9366740013971343,0.5499954397592073,0.3793060069189529,0.4849465412658352,0.6351985794969736,0.5951362266655904,0.4236255770572326,0.6164546799678647,0.5752429712196911,0.7055071305042938,0.545006579124022,0.5704155682092689,0.9244430476033886,0.6641032317745407,0.5056658075531589,0.5946978630875477,0.7678896499292969,0.6168795989763639,1.0557810962200165,4.22613263130188
28,1.0950210304422812,0.37067036336324155,0.9309632668579431,0.8708431038863413,0.9686198206384282,0.8961250561861113,0.83026658393037,0.7097912845134513,0.7745164438654415,0.8946650930154474,0.4632415832389671,0.30144073277003663,0.3899368481681721,0.5704884483813403,0.492442569694429,0.3266492936157095,0.3410450841146601,0.885564166910196,0.0031281969672856467,0.0015665487201205165,0.8775510203857767,0.001566891224042599,0.44726973345776294,0.33486196490482945,0.5957623491335127,0.5880711498827565,0.3196041166335606,1.3912700482390143,3.8414905071258545
29,1.0898466577584094,0.6324496130860042,0.933643544210685,0.8755454511874304,0.978155574827419,0.8930063226894519,0.823878537631255,0.7005046366316097,0.7463438959962343,0.9193902650026605,0.5501367732509509,0.37944046245278823,0.45204294690369695,0.702602249129706,0.5799817254013797,0.40843257849291853,0.5289961209295225,0.6418437929377717,0.7034206990905986,0.5425203831321614,0.5738168450543627,0.9086511526215406,0.664354433843546,0.5077245151773695,0.5752999522209542,0.7931218649229197,0.6111797325809764,1.0289387188174508,4.1648640632629395
30,1.086588810790669,0.5741960480889857,0.9300178681511747,0.8691900924963992,0.9794375008944626,0.8853458335352298,0.8167756949979122,0.6902965832809453,0.7303277641403165,0.9264367919255092,0.488628119527794,0.323301052402225,0.3712584214024063,0.7145150125898742,0.5046269952981242,0.3374589441640541,0.6219364554420056,0.4245487437388366,0.6484731471380634,0.47980781570479625,0.48685929946723305,0.970698223127088,0.6146259892404735,0.4577160988880052,0.5525954851129904,0.759049692845327,0.5472427539879938,1.0901877135038376,3.723909854888916
31,1.0886746360497042,0.5525114532334083,0.9309232164722352,0.870773017257332,0.9737584461992308,0.8916978004775399,0.8231525917452678,0.6994556694193731,0.7466459639935833,0.9171280167257737,0.5083185764496146,0.340768858835658,0.5483938401504803,0.4737016341803279,0.5584843114250712,0.3874285350145474,0.3973369552863029,0.9395267898235644,0.5005177589882525,0.33379372245885186,0.6890553621058134,0.3929890727556609,0.5976183096520515,0.4403616964321076,0.595358030384045,0.6808363783713318,0.5224402156209794,1.120073146440766,4.099909782409668
32,1.093468964099884,0.5830101963123555,0.9354562888831507,0.8787391998227405,0.9695346150573031,0.9036922658972503,0.8264383159630414,0.7042137854400288,0.7624315352207486,0.9021768343183567,0.47999000684874416,0.3157808231600096,0.42058184123915193,0.5589418456506847,0.602671061778114,0.4313022118793436,0.46283759452645906,0.8635766572938107,0.5852268137599794,0.4136541598694774,0.7981115001769841,0.4619960554424207,0.6235815495874698,0.4662377450872148,0.610990617790836,0.6966728481763182,0.5559626274622792,1.1307638111439617,4.150635480880737
