fold,image_id,image_path,mask_label_path,has_c2,has_c4,foreground_pixels,c2_pixels,c4_pixels,resunet_ds_dice_c1,resunet_ds_dice_c2,resunet_ds_dice_c3,resunet_ds_dice_c4,resunet_ds_mean_dice_present_fg,resunet_ds_minority_dice_present,proposed_amc_ordinal_dice_c1,proposed_amc_ordinal_dice_c2,proposed_amc_ordinal_dice_c3,proposed_amc_ordinal_dice_c4,proposed_amc_ordinal_mean_dice_present_fg,proposed_amc_ordinal_minority_dice_present,deeplabv3_resnet50_dice_c1,deeplabv3_resnet50_dice_c2,deeplabv3_resnet50_dice_c3,deeplabv3_resnet50_dice_c4,deeplabv3_resnet50_mean_dice_present_fg,deeplabv3_resnet50_minority_dice_present,proposed_minus_resunet_mean_dice,proposed_minus_resunet_c2_dice,resunet_minus_proposed_c4_dice,proposed_minus_deeplab_mean_dice
3,178,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_178.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0178.png,1,0,82606,1176,0,0.8844583700213839,0.5509288917360666,,,0.7176936308787253,0.5509288917360666,0.8921126515962835,0.5509196949304621,,,0.7215161732633728,0.5509196949304621,0.8606196305580569,0.5232104121475054,,,0.6919150213527812,0.5232104121475054,0.0038225423846475204,-9.196805604516634e-06,,0.02960115191059165
3,181,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_181.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0181.png,1,0,74504,2172,0,0.8827802017478025,0.5954011741682974,0.7318611987381703,0.0,0.5525106436635675,0.44242079096882253,0.8926030639752778,0.35623931623931626,0.6678445229681979,0.0,0.479171725795698,0.3413612797358381,0.8807466535001097,0.5124555160142349,0.7720465890183028,,0.7217495861775491,0.6422510525162688,-0.0733389178678695,-0.23916185792898115,0.0,-0.24257786038185114
3,187,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_187.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0187.png,1,0,50801,2637,0,0.8075131778467759,0.7522828832329512,,,0.7798980305398635,0.7522828832329512,0.7872398436789967,0.7347463070006423,,,0.7609930753398195,0.7347463070006423,0.7809637389865011,0.6755828664377372,,,0.7282733027121191,0.6755828664377372,-0.018904955200043982,-0.017536576232308976,,0.03271977262770043
3,189,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_189.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0189.png,1,1,27199,2447,2819,0.6184144421743645,0.41837732160312807,0.7777288947548516,0.8196330001491869,0.6585384146703828,0.6719130721690556,0.6476747875753622,0.41570026761819806,0.7539948905475129,0.8466313398940197,0.6660003214087733,0.6721088326865768,0.5877594223717537,0.441424982872802,0.8138552002940096,0.8659171001845948,0.67723917643079,0.7070657611171355,0.0074619067383905335,-0.0026770539849300112,-0.02699833974483279,-0.011238855022016714
3,190,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_190.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0190.png,1,1,24874,5218,5831,0.6511423550087874,0.4874134329998901,0.6116031886625333,0.6687878969802485,0.6047367184128648,0.5892681728808906,0.628328611898017,0.6710922103516233,0.7820038346635751,0.7617662814724114,0.7107977345964067,0.7382874421625366,0.6392997283428916,0.45320197044334976,0.7677667544037254,0.8636239409674774,0.680973098539361,0.6948642219381842,0.10606101618354191,0.18367877735173316,-0.09297838449216289,0.02982463605704566
3,194,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_194.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0194.png,1,0,70130,2105,0,0.8602777647129967,0.4672962574326688,,,0.6637870110728328,0.4672962574326688,0.8560074074574713,0.4646748681898067,,,0.660341137823639,0.4646748681898067,0.8514929174180582,0.4638888888888889,,,0.6576909031534736,0.4638888888888889,-0.003445873249193765,-0.0026213892428620933,,0.0026502346701654522
3,195,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_195.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0195.png,1,0,69724,4053,0,0.8418078297848293,0.64586191129401,0.08664259927797834,,0.5247707801189392,0.3662522552859942,0.8479844993892423,0.6322661644695543,0.33433734939759036,,0.6048626710854623,0.48330175693357236,0.8278023889099614,0.7011467889908257,0.0,,0.509649725966929,0.35057339449541286,0.08009189096652314,-0.013595746824455746,,0.09521294511853329
3,196,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_196.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0196.png,1,0,78835,1687,0,0.8767591046612351,0.7406588547424275,0.8249414519906323,0.0,0.6105898528485737,0.5218667689110199,0.8776842423631415,0.855427974947808,0.8625672995182772,,0.8652265056097422,0.8589976372330426,0.8569205156500163,0.6248841090302244,0.9014844804318488,,0.7944297017040299,0.7631842947310365,0.25463665276116854,0.11476912020538044,,0.0707968039057123
3,201,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_201.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0201.png,1,1,63042,492,28657,0.6689095928226363,0.0,0.6891087762249651,0.7519021283727166,0.5274801243550795,0.4803369681992273,0.7080441794545987,0.0,0.6739884888387437,0.663559488692232,0.5113980392463937,0.4458493258436586,0.6661652721632039,0.05403899721448468,0.6746331605307091,0.7630625632322705,0.539474998285167,0.4972449069924881,-0.016082085108685806,0.0,0.08834263968048461,-0.028076959038773275
3,206,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/raw/images_zip_extract/ER_IHC_Int_Image/Image_206.png,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/data/processed/masks_label/mask_0206.png,1,1,20559,17150,213,0.4173160173160173,0.6767021252871256,0.216243654822335,0.0,0.32756544935636944,0.2976485933698202,0.6096997690531177,0.6850428238335988,0.2001166861143524,0.0,0.3737148197502672,0.2950531699826504,0.0,0.6998245520761338,0.41511442256519426,0.0,0.278734743660332,0.3716463248804427,0.04614937039389777,0.008340698546473235,0.0,0.0949800760899352
