fold,num_images,foreground_ratio,minority_ratio_c2_c3_c4,ratio_c0,images_with_c0,ratio_c1,images_with_c1,ratio_c2,images_with_c2,ratio_c3,images_with_c3,ratio_c4,images_with_c4
0,44,0.23600014773282138,0.06212563948197798,0.7639998522671786,44,0.17387450825084338,43,0.017284566705877132,23,0.025807207280939274,19,0.019033865495161575,13
1,44,0.2421660856767134,0.06667978113347833,0.7578339143232866,44,0.17548630454323508,44,0.020714846524325283,27,0.02726138721812855,18,0.018703547391024502,13
2,44,0.23317709836092862,0.05749971216375178,0.7668229016390714,44,0.17567738619717685,44,0.015696612271395596,27,0.02757427909157493,19,0.01422882080078125,13
3,44,0.23636167699640448,0.05355392802845348,0.7636383230035956,44,0.182807748967951,43,0.01008926738392223,25,0.023067387667569248,19,0.020397272976962002,13
4,44,0.23121937838467685,0.0540534799749201,0.7687806216153231,44,0.17716589840975674,44,0.013057622042569246,25,0.02605351534756747,18,0.01494234258478338,13
