class_id,class_name,total_pixels,dataset_pixel_ratio,images_present,mean_image_ratio,std_image_ratio,min_image_ratio,max_image_ratio
0,Background,44073570,0.764215122569691,220,0.764215122569691,0.08892160926999736,0.5604209899902344,0.9523696899414062
1,C1,10208024,0.17700236927379262,218,0.17700236927379262,0.13104511215951611,0.0,0.4395790100097656
2,C2,886332,0.015368582985617898,127,0.015368582985617898,0.029099896660603135,0.0,0.17760086059570312
3,C3,1496739,0.025952755321155895,93,0.025952755321155895,0.04840901253109362,0.0,0.2930755615234375
4,C4,1007015,0.017461169849742542,65,0.017461169849742542,0.039585903142517656,0.0,0.23009872436523438
