class_id,class_name,image_level_percent
1,C1,34.34371948242187
1,C1,31.0272216796875
1,C1,37.10975646972656
1,C1,33.73336791992187
1,C1,27.768325805664062
1,C1,25.172042846679688
1,C1,27.027511596679688
1,C1,28.826141357421868
1,C1,29.886245727539062
1,C1,30.622482299804688
1,C1,32.81974792480469
1,C1,22.31025695800781
1,C1,28.216171264648438
1,C1,43.95790100097656
1,C1,27.754974365234368
1,C1,42.0501708984375
1,C1,33.69941711425781
1,C1,34.35325622558594
1,C1,37.58735656738281
1,C1,34.42840576171875
1,C1,29.275131225585938
1,C1,25.93994140625
1,C1,33.6212158203125
1,C1,24.71199035644531
1,C1,17.73796081542968
1,C1,16.892242431640618
1,C1,24.428558349609368
1,C1,15.664291381835929
1,C1,19.4061279296875
1,C1,9.8419189453125
1,C1,8.18901062011718
1,C1,14.850997924804679
1,C1,29.81414794921875
1,C1,31.365203857421868
1,C1,26.181411743164062
1,C1,28.05633544921875
1,C1,39.89715576171875
1,C1,29.781723022460938
1,C1,31.764984130859368
1,C1,29.57611083984375
1,C1,23.802947998046868
1,C1,23.00605773925781
1,C1,22.507476806640618
1,C1,25.074386596679688
1,C1,34.73396301269531
1,C1,42.32025146484375
1,C1,38.40255737304687
1,C1,31.598663330078118
1,C1,37.78457641601562
1,C1,12.00981140136718
1,C1,18.43986511230468
1,C1,15.35568237304687
1,C1,14.91470336914062
1,C1,26.71356201171875
1,C1,18.1060791015625
1,C1,15.968704223632809
1,C1,26.663589477539062
1,C1,8.69293212890625
1,C1,5.7781219482421795
1,C1,5.35469055175781
1,C1,11.55471801757812
1,C1,3.17955017089843
1,C1,0.0
1,C1,0.33340454101562
1,C1,0.0
1,C1,14.925003051757809
1,C1,18.2952880859375
1,C1,17.66090393066406
1,C1,8.543777465820309
1,C1,21.58393859863281
1,C1,21.89483642578125
1,C1,27.362060546875
1,C1,25.263595581054688
1,C1,33.75091552734375
1,C1,26.86309814453125
1,C1,28.040695190429688
1,C1,22.234344482421868
1,C1,22.99690246582031
1,C1,26.337051391601562
1,C1,27.55279541015625
1,C1,27.093124389648438
1,C1,31.104660034179688
1,C1,30.94940185546875
1,C1,27.729034423828118
1,C1,36.37657165527344
1,C1,30.59234619140625
1,C1,30.445098876953118
1,C1,29.853057861328118
1,C1,29.900360107421868
1,C1,28.54156494140625
1,C1,25.333404541015618
1,C1,26.589584350585938
1,C1,31.431198120117188
1,C1,29.28619384765625
1,C1,17.8680419921875
1,C1,33.15963745117187
1,C1,35.70518493652344
1,C1,33.78715515136719
1,C1,41.6168212890625
1,C1,37.72811889648437
1,C1,36.5875244140625
1,C1,35.29243469238281
1,C1,42.63954162597656
1,C1,37.31613159179687
1,C1,33.79364013671875
1,C1,0.39749145507811995
1,C1,0.96054077148437
1,C1,0.59242248535156
1,C1,0.41465759277343006
1,C1,2.82363891601562
1,C1,1.51901245117187
1,C1,2.655029296875
1,C1,2.72293090820312
1,C1,4.26521301269531
1,C1,1.8638610839843701
1,C1,0.87814331054687
1,C1,0.46005249023436995
1,C1,0.5382537841796801
1,C1,0.99334716796875
1,C1,0.16365051269531
1,C1,0.03166198730468
1,C1,0.25558471679687
1,C1,0.37841796875
1,C1,0.26702880859375
1,C1,7.30323791503906
1,C1,1.03874206542968
1,C1,1.20658874511718
1,C1,1.30081176757812
1,C1,0.23269653320312
1,C1,14.009475708007809
1,C1,13.818740844726559
1,C1,12.924575805664059
1,C1,15.973281860351559
1,C1,1.21574401855468
1,C1,0.27313232421875
1,C1,0.34027099609375
1,C1,0.06904602050781
1,C1,0.37994384765625
1,C1,12.21160888671875
1,C1,8.85238647460937
1,C1,12.5823974609375
1,C1,18.419647216796868
1,C1,18.247222900390618
1,C1,3.55567932128906
1,C1,1.30462646484375
1,C1,1.29356384277343
1,C1,6.247711181640621
1,C1,0.88729858398437
1,C1,2.0343780517578103
1,C1,8.94279479980468
1,C1,3.16009521484375
1,C1,6.89125061035156
1,C1,2.58636474609375
1,C1,9.48486328125
1,C1,16.63703918457031
1,C1,16.96014404296875
1,C1,10.39581298828125
1,C1,14.16015625
1,C1,3.72581481933593
1,C1,0.6683349609375
1,C1,7.54623413085937
1,C1,0.8190155029296801
1,C1,0.823974609375
1,C1,22.12104797363281
1,C1,25.25177001953125
1,C1,20.476531982421868
1,C1,23.461151123046868
1,C1,26.155853271484368
1,C1,5.249786376953121
1,C1,4.70123291015625
1,C1,0.68511962890625
1,C1,1.01089477539062
1,C1,2.4169921875
1,C1,25.324249267578118
1,C1,22.41668701171875
1,C1,26.715087890625
1,C1,32.31201171875
1,C1,25.50201416015625
1,C1,31.063079833984368
1,C1,29.80804443359375
1,C1,29.766845703125
1,C1,27.503204345703118
1,C1,32.93685913085937
1,C1,20.86448669433593
1,C1,21.9024658203125
1,C1,26.389694213867188
1,C1,24.617767333984368
1,C1,18.37310791015625
1,C1,1.27143859863281
1,C1,3.97377014160156
1,C1,1.27182006835937
1,C1,0.9441375732421801
1,C1,2.14309692382812
1,C1,20.76301574707031
1,C1,25.949478149414062
1,C1,24.84931945800781
1,C1,28.664016723632812
1,C1,28.666305541992188
1,C1,0.58631896972656
1,C1,0.17280578613281
1,C1,0.65460205078125
1,C1,2.38304138183593
1,C1,0.32272338867187
1,C1,1.44805908203125
1,C1,0.22697448730468
1,C1,0.35438537597656
1,C1,0.22239685058593
1,C1,1.28555297851562
1,C1,0.33302307128906
1,C1,14.076614379882809
1,C1,27.630233764648438
1,C1,20.56388854980468
1,C1,21.221923828125
1,C1,31.682968139648438
1,C1,31.794357299804688
1,C1,19.77348327636718
1,C1,18.401336669921868
1,C1,18.022918701171868
1,C1,0.10719299316406
1,C1,0.54702758789062
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,1.654052734375
2,C2,0.0
2,C2,3.13148498535156
2,C2,1.20964050292968
2,C2,0.0
2,C2,1.6761779785156201
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,1.05781555175781
2,C2,1.51405334472656
2,C2,1.25770568847656
2,C2,0.0
2,C2,3.0857086181640603
2,C2,0.0
2,C2,0.787353515625
2,C2,7.1136474609375
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,8.591079711914059
2,C2,9.95407104492187
2,C2,17.76008605957031
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.44937133789061995
2,C2,0.8739471435546801
2,C2,1.556396484375
2,C2,1.51596069335937
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,6.65168762207031
2,C2,2.1076202392578103
2,C2,5.478668212890621
2,C2,5.75904846191406
2,C2,2.1087646484375
2,C2,5.50117492675781
2,C2,6.54258728027343
2,C2,3.25927734375
2,C2,14.652633666992179
2,C2,8.769607543945309
2,C2,12.735366821289059
2,C2,9.33685302734375
2,C2,11.14959716796875
2,C2,0.0
2,C2,2.03170776367187
2,C2,0.0
2,C2,0.45928955078125
2,C2,0.37918090820312
2,C2,2.21214294433593
2,C2,6.51588439941406
2,C2,0.72364807128906
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.25253295898437
2,C2,0.0
2,C2,1.35688781738281
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.77705383300781
2,C2,0.0
2,C2,0.0
2,C2,0.9571075439453101
2,C2,0.0
2,C2,0.47836303710936995
2,C2,0.0
2,C2,0.69313049316406
2,C2,0.0
2,C2,1.3580322265625
2,C2,0.27389526367187
2,C2,0.0
2,C2,0.0
2,C2,0.041961669921870004
2,C2,0.14533996582031
2,C2,0.0
2,C2,0.31623840332031
2,C2,8.343887329101559
2,C2,8.85467529296875
2,C2,8.926773071289059
2,C2,4.381561279296871
2,C2,13.07601928710937
2,C2,0.3021240234375
2,C2,0.63514709472656
2,C2,0.11138916015625
2,C2,0.164794921875
2,C2,0.81100463867187
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.35209655761718
2,C2,0.38261413574218
2,C2,0.35324096679687
2,C2,0.0
2,C2,0.09956359863281
2,C2,0.4241943359375
2,C2,1.07688903808593
2,C2,0.0
2,C2,0.29411315917968
2,C2,0.0
2,C2,0.68588256835937
2,C2,0.0
2,C2,0.6011962890625
2,C2,0.42648315429686995
2,C2,0.34103393554687
2,C2,0.0
2,C2,1.9783020019531201
2,C2,1.24855041503906
2,C2,0.2777099609375
2,C2,1.81541442871093
2,C2,0.31509399414062
2,C2,0.0
2,C2,1.8226623535156201
2,C2,1.08757019042968
2,C2,1.64833068847656
2,C2,0.25291442871093
2,C2,2.2541046142578103
2,C2,1.79405212402343
2,C2,1.55220031738281
2,C2,0.9288787841796801
2,C2,0.13885498046875
2,C2,0.30555725097656
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.10147094726561999
2,C2,4.952239990234371
2,C2,2.3731231689453103
2,C2,6.21833801269531
2,C2,2.76298522949218
2,C2,2.1625518798828103
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,1.91917419433593
2,C2,2.5470733642578103
2,C2,0.13313293457031
2,C2,0.26168823242187
2,C2,0.0
2,C2,0.0
2,C2,0.4150390625
2,C2,0.69160461425781
2,C2,0.0
2,C2,0.0
2,C2,0.4486083984375
2,C2,1.63116455078125
2,C2,1.9813537597656201
2,C2,0.82855224609375
2,C2,0.9258270263671801
2,C2,0.6298065185546801
2,C2,0.17051696777343
2,C2,0.0
2,C2,0.0
2,C2,1.00593566894531
2,C2,1.64642333984375
2,C2,0.9334564208984301
2,C2,1.9905090332031201
2,C2,1.15280151367187
2,C2,1.9050598144531201
2,C2,0.54244995117187
2,C2,0.8029937744140601
2,C2,1.54609680175781
2,C2,0.6435394287109301
2,C2,0.6481170654296801
2,C2,0.87203979492187
2,C2,0.33912658691406
2,C2,0.13160705566406
2,C2,0.18768310546875
2,C2,0.0
2,C2,6.31217956542968
2,C2,8.269119262695309
2,C2,8.17718505859375
2,C2,6.54220581054687
2,C2,4.9877166748046795
2,C2,0.0
2,C2,0.0
2,C2,0.0
2,C2,1.22413635253906
2,C2,5.07087707519531
2,C2,1.28707885742187
2,C2,0.7907867431640601
2,C2,0.0
2,C2,0.0
2,C2,5.6667327880859295
2,C2,0.0
2,C2,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,2.21824645996093
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,1.94969177246093
3,C3,6.25724792480468
3,C3,3.26728820800781
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.0
3,C3,0.23880004882812
3,C3,1.91688537597656
3,C3,2.1060943603515603
3,C3,0.8533477783203101
3,C3,0.9044647216796801
3,C3,0.14152526855468
3,C3,0.28762817382812
3,C3,0.23880004882812
3,C3,0.96282958984375
3,C3,16.90406799316406
3,C3,16.71104431152343
3,C3,14.289474487304679
3,C3,0.0
