class_id,class_name,class_description,pixels,pixel_percent,images_present,image_present_percent
0,Background,Background,44073570,76.42151225696911,220,100.0
1,C1,C1 weak,10208024,17.70023692737926,218,99.0909090909091
2,C2,C2 low-moderate,886332,1.5368582985617898,127,57.72727272727273
3,C3,C3 moderate,1496739,2.5952755321155894,93,42.27272727272727
4,C4,C4 strong,1007015,1.7461169849742542,65,29.545454545454547
