,Background,C1,C2,C3,C4
Background,8147551,517496,58675,50234,34105
C1,129964,1963406,15157,38,1
C2,18716,12539,80680,4438,0
C3,15615,0,18544,198571,33337
C4,8358,0,206,27318,199387
