epoch,train_loss,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,val_loss,epoch_seconds
1,1.953310477462682,0.35360049102720137,0.8233778136780032,0.6997809689886946,0.9867774304405187,0.7064048489219129,0.6557489730078613,0.4878173494686838,0.4946886198084489,0.9723143596169105,0.10581196126314193,0.055861381815979994,0.06944974392321271,0.22209619069713576,0.5189091813862367,0.3503560854370248,0.364959208688284,0.8974995020051003,0.3353641697720053,0.20146398610564123,0.8473691464799892,0.2090500660945467,0.40395857135731134,0.27387470070683245,0.4441166797249837,0.5752400296034234,0.32002843747379467,1.6581250645897605,9.494354724884033
2,1.594733712348071,0.5494737505967109,0.8966409863215354,0.8126466319718035,0.9751872563605908,0.8298045392737394,0.7381496203600189,0.5849739654321146,0.6062346997890218,0.9434392852772884,0.28329605510578637,0.1650232446592552,0.2626475424276042,0.3074682271660688,0.5729182124569832,0.4014613720516797,0.48310327923835794,0.7037550692118637,0.7293150276395938,0.5739542400386057,0.7310326862140221,0.7276054218787545,0.5809197288905955,0.4313532055454138,0.5207545519172515,0.6705670008834939,0.5285097650674544,1.2643220235000958,8.00867509841919
3,1.4953745793212543,0.40645338057860003,0.9113251418344137,0.8370957912723306,0.978974572810383,0.8524208676574778,0.7662058091482677,0.6210158994340284,0.6410718482865021,0.9520389686640071,0.31753306575187523,0.18873064265823278,0.3442028985506901,0.29469894219446996,0.20941583714135936,0.11695392011455644,0.5574841540710942,0.1289224142791053,0.5724937626526764,0.40104466633821373,0.4039076395173647,0.9826326460349224,0.4664121186735446,0.3319362821362578,0.4866666351064127,0.5895732427931262,0.3664808885153037,1.2785669565200806,7.848990201950073
4,1.4259741726246746,0.5755991233637979,0.9070770143789065,0.8299551078280478,0.9859659836672969,0.8398769036681276,0.7675839548264365,0.6228285957753303,0.6388830660960345,0.9612181928381613,0.33606216877377226,0.20196798369931498,0.3283830547947183,0.34410902872656507,0.585265652045418,0.41369296850083065,0.450911434246012,0.8336659563192416,0.741474605451324,0.5891614175312107,0.7266187930963839,0.7569505544716576,0.6075965952742377,0.4569127413766717,0.5361990870582871,0.7239859330889065,0.5542674754235047,1.161094214428555,7.650719165802002
5,1.4022780683907596,0.5167602415972836,0.9154370891869696,0.8440608470565553,0.9795788317698445,0.8591789952408359,0.8009877227029514,0.6680396338464775,0.7065944079872615,0.9244894397424558,0.31456157896980586,0.18663486903160525,0.3507610993657135,0.2851348680535618,0.49022121229776755,0.3246973770533938,0.3305037363512166,0.9486708235143423,0.6507554398223885,0.4823109605398183,0.7245667919923279,0.5905920457008534,0.5641314884482282,0.4154207101178237,0.5281065089241299,0.6872217942528033,0.48517941036332063,1.1608965071764858,7.681876182556152
6,1.3539793613282116,0.29849171674048547,0.8985026159606072,0.8157101677950732,0.9761908408097876,0.8322681916031227,0.810508419542127,0.6813906318110606,0.7303969075675758,0.9103585090530679,0.20172694060404125,0.11217814755663497,0.11570241665107336,0.7864539025374626,0.45741717495689044,0.2965268169273875,0.3306452558559439,0.7418469783926326,0.06565880039331097,0.0339437532564893,0.9094313925764278,0.03405888578605621,0.3838278338740924,0.2810098373878931,0.5215439931627552,0.6181795689423049,0.24160097198474753,1.3069845817305825,7.610158681869507
7,1.3331974853168835,0.42609911244331333,0.9252310542002329,0.8608650797141717,0.9754749783861868,0.8799094375027593,0.8219350817726302,0.6976993110102907,0.7452108498911674,0.9162710581504164,0.21039466042264823,0.11756483721284426,0.12413673605782129,0.6895070162322283,0.38342034238883427,0.23717998713123606,0.40288478655972626,0.36574998026811417,0.5525370114086853,0.3817279030715802,0.8743363483284835,0.403886614896123,0.49207177399819946,0.3585430096064878,0.5366421802092995,0.5938536673867205,0.38211733807338927,1.2240691753950985,7.5631608963012695
8,1.3247086866335436,0.5831193016260396,0.9337256317664029,0.8756898407988781,0.9693609949379374,0.9006174003563318,0.8274324674589311,0.7056586887288308,0.7890212018649313,0.8697750034857773,0.4002280609613479,0.2501781980260613,0.27613842994766025,0.7268610416504923,0.5341830312185213,0.3644268299490237,0.45944139037981935,0.6379671285803712,0.7335090907539527,0.5791664870224902,0.612747529692142,0.9135542719184885,0.6238381625981881,0.4748575509316015,0.5343371379711382,0.7870393614087824,0.555973394311274,1.0462951240214435,7.605009078979492
9,1.326224672523412,0.5449834282832289,0.9319479851738245,0.8725679763129311,0.973348050622595,0.8939260298038344,0.8315749708247521,0.7117058861805906,0.7635227459776308,0.9129451010781693,0.36184036648751416,0.2208822382661624,0.5036249099519483,0.28235071709070986,0.5300251783028476,0.36056752161979855,0.3668050151942721,0.9549624718585561,0.6475542258788171,0.47880235812012256,0.7831286068346217,0.5519936753248175,0.5927486853734827,0.4429895010466685,0.6042703194896182,0.6755629913380631,0.5131399235563929,1.0925025655464693,7.629939079284668
10,1.2993404404683546,0.5584718479301356,0.928967514357183,0.8673569913237799,0.9779915440435826,0.884623755444018,0.8101285354850422,0.6808538229927928,0.7139682714202609,0.9362230065361914,0.40747837696358263,0.25586991791461816,0.4618633919044939,0.3645519149630615,0.5792211117221954,0.4076785744080822,0.4230181250941327,0.9183175666279201,0.6048304925863268,0.43351756856236406,0.8383044107013106,0.4730755008096913,0.6004146291892867,0.4444799709694643,0.6092885497800495,0.6730419972342161,0.5305099937573683,1.099292423237454,7.849400281906128
