,Background,C1,C2,C3,C4
Background,8356670,339136,38971,53143,20141
C1,236786,1863630,8106,39,5
C2,18195,19457,71316,7394,11
C3,23984,84,8510,213233,20256
C4,14359,26,61,45529,175294
