epoch,variant_name,train_loss,train_ce,train_dice,train_focal_tversky,train_ordinal,train_aux,lambda_ft,lambda_ord,amc_p,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,amc_focal_tversky,1.9669768065214157,0.9467765519564803,0.8477374105290933,0.7793107120828195,0.18819722236896103,1.7246285649863156,0.0,0.0,0.25,0.37497799907269413,0.8722572719415421,0.7734541311946527,0.9729251863232729,0.7904680723714326,0.7374498771040355,0.5840955251839948,0.6130866042195915,0.9251054982390833,0.11385217681030495,0.06036227670520951,0.0678950305242005,0.35235836491279315,0.4827609645023646,0.3181838544933199,0.3565134927279215,0.7474433131504189,0.23135602953543433,0.1308098370271008,0.9012527421773175,0.1327119169971338,0.39135476198803487,0.2733628733524063,0.48468696741225775,0.5394047733248573,0.27598972361603463,0.1262074430972142,0.11941895052400356,0.0032955304220577044,0.8772855190539387,0.9197773630666286,1.5134519636631012,9.34053111076355
2,amc_focal_tversky,1.609538272023201,0.657778359610926,0.8012798760424961,0.7204076647758484,0.11375783544711092,1.5048003372820942,0.0,0.0,0.3348020552767931,0.4308298806650041,0.8894310011067527,0.8008786504873874,0.9824099191786678,0.8125301357472425,0.7534661758154134,0.6044490419730804,0.6232540082282593,0.9524563139119149,0.20107887967990135,0.11177748563212239,0.17207897423981044,0.24183444613439184,0.47750556209429945,0.31363369888637643,0.3178835912926995,0.9591155611180282,0.3408059023836434,0.20540448093038327,0.8303619931847119,0.21440138734809028,0.4432141299933144,0.3088161768554906,0.48589464173637026,0.5919519271281062,0.3397967813859481,0.10003610286159441,0.09754662195762186,0.001001488761925876,0.9014518892804523,0.9398757283544094,1.295010975816033,7.762007713317871
3,amc_focal_tversky,1.512208720499819,0.5874805331907489,0.7819410027428106,0.6952067742293532,0.09091200812889094,1.4278719059445641,0.0,0.0,0.40684269899960346,0.5798399190526591,0.87037479329738,0.7704987354505014,0.984610617093226,0.7798908295480689,0.7027999706884991,0.5417822655011161,0.5513944956505671,0.968826681261099,0.3154547771552114,0.18726405968637921,0.3070004228879748,0.32438795940636367,0.5438930168036229,0.37352545045124,0.41353587970889183,0.7942661059056254,0.706412461542173,0.5460878684594742,0.7329981718464016,0.6816877701694366,0.5671400565473765,0.4121649110245523,0.5012322425234588,0.6922921291856312,0.5219200851670024,0.0642454794135571,0.06315303935838906,0.00046698853109769414,0.9363799721105133,0.9654585098824462,1.2862750860777767,7.348499298095703
4,amc_focal_tversky,1.4378946599635212,0.5346331555734981,0.7681488685987212,0.6807232414456931,0.07051497475582767,1.3511262766339562,0.0,0.0,0.44245868196620297,0.5911142345438358,0.9130506012001319,0.8400120577905993,0.9768803151917255,0.8570506039865065,0.7903191684868129,0.653328669760109,0.6865526325636806,0.9310374918309368,0.332143532263612,0.19914395434422283,0.2920414548298597,0.3850119873166125,0.5457626482157714,0.37529131509802427,0.39676556855932665,0.8739603182656671,0.7040863078780607,0.543312654352146,0.7506304259946894,0.6629772728238458,0.5930779142110643,0.4427691483886255,0.5314975204868891,0.7132467675592655,0.5273308294524813,0.06006833842633208,0.05884562620333135,0.0004828045053903357,0.9406715692912783,0.9679236260902768,1.142120373519984,7.500525712966919
5,amc_focal_tversky,1.3942085694183002,0.5100373679941351,0.7507360408251936,0.6598721539432352,0.062060276829552924,1.334351503036239,0.0,0.0,0.4769925160757067,0.575755767583951,0.896810401597874,0.8129249975678031,0.9831836945367304,0.8243874559905968,0.7644301542945509,0.6186863146195505,0.6545123925280925,0.9187182189222396,0.3481298955691648,0.21074895334407404,0.24131211324462057,0.6246208312924283,0.5074178125563937,0.33995971332437286,0.3511864191398122,0.9140479653620737,0.6818775989728166,0.517309772173999,0.7513790103873125,0.6241451274923332,0.5754638653482315,0.4216761883654991,0.4995974838249594,0.7703830357672686,0.512475102366125,0.07901758555370532,0.07692502802566717,0.0007713063285165439,0.9223036656458163,0.9563154655980657,1.1471950276331468,7.148847341537476
6,amc_focal_tversky,1.3892983889037913,0.4806980478831313,0.7492165802554651,0.6592913320796057,0.0528162541132505,1.2641920325430958,0.05,0.0,0.5144974956024817,0.48136018712774165,0.9246913691293461,0.8599311328698663,0.9588657252010578,0.8928691570142386,0.8244109768965676,0.7012748168745305,0.8022957615122405,0.8477799604091082,0.3247244451658593,0.19383345278861208,0.2190421051368441,0.6274565406064442,0.4780726527616823,0.31412317652954375,0.32935920140540365,0.8716375950418176,0.3799340798983275,0.23451766695671464,0.8578793992377108,0.24399729671141357,0.5017855386806092,0.3609372782873502,0.5521441168230498,0.6477178481921958,0.3942437259419564,0.10096827032034422,0.09946213716025668,0.0005676255044687951,0.8999702373352745,0.9427828995838504,1.171259810978716,7.375570058822632
7,amc_focal_tversky,1.3698346736756237,0.4510152851316062,0.7327922453934496,0.6382362124594775,0.04665998305956071,1.2220351614735343,0.1,0.0,0.5756487504140904,0.43823244834067515,0.9275766036297821,0.8649350683408327,0.9583850269153694,0.8986872366120071,0.8234563461319219,0.6998944267173391,0.8065956487784697,0.8410369891196158,0.3128393529838669,0.18542357157105707,0.20472342740383434,0.6629458723242795,0.4823058777465664,0.31778859170282014,0.33784313252721043,0.8426073131955167,0.23437822687711188,0.1327454330507959,0.885375163689815,0.13506666836684242,0.4632449509348668,0.3339630057605031,0.5586343430998324,0.6204142107515637,0.3431744858691817,0.11621197367537439,0.11554672285272984,0.0003210832046202404,0.88413219394265,0.9335427153870612,1.2322394658218732,8.137544393539429
8,amc_focal_tversky,1.428025409579277,0.4699545780366117,0.7364537946202538,0.6439384597946297,0.04666190650525757,1.2502625997770915,0.15,0.0,0.6470138532402541,0.5804818236351674,0.9305794611089264,0.8701716745349616,0.9759466802566044,0.8892427061983326,0.8164470843508123,0.6898272764618936,0.7422919277486691,0.9070629043624867,0.4213715042834617,0.26692252510759445,0.3142054930439606,0.6394782294861661,0.447674660947255,0.2883897142466499,0.45138636823864364,0.44402349784075273,0.6693966400097976,0.5030775211740984,0.516302969082234,0.9515490778640215,0.5887224723978317,0.43705425924755903,0.5060466895283768,0.7355284273883568,0.5128142684135047,0.08131266199648354,0.08009998286774929,0.0005100199981525591,0.9193899971340982,0.9617652086771517,1.0795693045312709,7.577565431594849
9,amc_focal_tversky,1.4468221379951998,0.46386863460594957,0.7324027771299536,0.6376716765490446,0.046762434276223015,1.2301639569076626,0.2,0.0,0.6844509995575531,0.4864501186475346,0.922076227488707,0.8554187698639393,0.9726500018645967,0.8765017635549972,0.8142969410551989,0.6867629588304095,0.7390198249295252,0.9066488789063236,0.3631242435286384,0.22183983243262825,0.38112508972756987,0.3467470976944526,0.47147236841029755,0.3084487049278631,0.31081197542863065,0.9759421499095725,0.36901007323897983,0.22624914304148783,0.8154031742339377,0.23846320594722473,0.5044759065582787,0.3608251598080972,0.5615900160799159,0.6169503331143934,0.40120222839263864,0.09725815682204761,0.09551416633588236,0.0006675466326158104,0.9038182870315018,0.9438600964446788,1.1677330691706052,7.944323301315308
10,amc_focal_tversky,1.4778993292288347,0.4678569955920631,0.7267761359160597,0.6301254602995786,0.049560936268376696,1.2573483112183483,0.25,0.0,0.7442105538790253,0.5836487929764429,0.9235818559190055,0.8580140171341362,0.9811069042188286,0.8724289034783015,0.7989197697787711,0.6651676962758907,0.6887591341158668,0.9510278549497576,0.28131551531207594,0.16368072081779264,0.5590287539934674,0.18794737610956253,0.55254742661175,0.3817378453501428,0.4711551207614075,0.6679332649294851,0.717591848120363,0.5595658816333803,0.5844035054428285,0.9294084643535302,0.58759363995574,0.44253803601930164,0.5758366285783926,0.6840792400855839,0.5171515966813963,0.060457348397023304,0.059667292014845455,0.00035061903264053756,0.939982088952514,0.9707974298088319,1.0902247306975452,7.923164129257202
11,amc_focal_tversky,1.4644493826410987,0.44182635318826546,0.7171653874895789,0.6212813952429728,0.040629651315446776,1.1907321648164229,0.3,0.0,0.780780234542746,0.5507596403710847,0.9287765108673336,0.8670240340037098,0.978199850593223,0.8841071831814052,0.8199196209703535,0.6947998081660803,0.7377112269132862,0.9227479718443676,0.43534495343200386,0.2782370174096293,0.3296895244917758,0.6406554785044091,0.5375935080200995,0.3676088084731289,0.3832928828494156,0.8998372590362239,0.46094001016933966,0.29949450522721727,0.8661227169350231,0.3140320229184332,0.5634495231479492,0.41003503481901393,0.5792040877973751,0.6943181830758584,0.477959490540481,0.08659363629810932,0.0854348759444798,0.000433653722605777,0.9141314703329144,0.9494908910241141,1.1023752770640634,7.654144287109375
12,amc_focal_tversky,1.5031527687202801,0.4454498936168172,0.718564051118764,0.6226980411870913,0.04196682571306486,1.2119451266798107,0.35,0.0,0.8251883364346498,0.4996997605493638,0.9224795775584026,0.8561133119575763,0.9799636540858753,0.8713657864086082,0.8168098235906271,0.6903453391317024,0.737931314219763,0.914569427753265,0.36352572446231285,0.2221395899076209,0.25016087151942745,0.6647847868491261,0.49984298835239876,0.33319378203180766,0.3437914235660604,0.9153183220767357,0.3888233184441202,0.24132878963258184,0.8346467714616489,0.2534460553663996,0.5172504637123647,0.37175187517592817,0.5416325951917249,0.6870296480113817,0.41739734375294396,0.10160114363510474,0.10112787236932595,0.00021834307574169508,0.8986537845549324,0.9408621518388802,1.1917486800388857,9.321820259094238
13,amc_focal_tversky,1.5293664580041713,0.44882178475910967,0.7136372646147554,0.6172202182087031,0.03885074022929819,1.20019308951768,0.4,0.0,0.85,0.6515299057841761,0.9392260972759702,0.8854159164965041,0.9734847294387232,0.9072967364780956,0.8331859026914309,0.7140691088780111,0.7685414119948252,0.9097040358233942,0.444030732860507,0.2853724313442365,0.33838226882314587,0.6455964871576185,0.5998820906442459,0.42845112303454064,0.6133026009926252,0.5870363479875149,0.7447644223981038,0.5933264127367727,0.6208619789893863,0.9304498255188346,0.6554657871485718,0.5053047689983903,0.5852720651999956,0.7681966741218406,0.5962257486342856,0.05678811260118169,0.05537378129526917,0.0005170202096303684,0.9441091984951004,0.9715472045903333,1.0192751559344204,8.630846738815308
14,amc_focal_tversky,1.5491023185578259,0.43819382109425287,0.714482952925292,0.6177611388266087,0.03646299616825259,1.18433040515943,0.45,0.0,0.85,0.5443240267676951,0.933031116974438,0.8744689107789894,0.9653132038642839,0.9028383204884698,0.8299268171588694,0.7092947939749122,0.788773534082308,0.8756107231170338,0.4595548746827825,0.29832602741246517,0.4577117820549587,0.46141287068302256,0.5020919192344026,0.3351954139787922,0.3393758265009212,0.9645540408994364,0.4453140507585284,0.2864334439864182,0.8605874616395269,0.30037106461113444,0.5592219154586456,0.407312419838147,0.6116121510694287,0.6504871748276568,0.46898694822523784,0.08776185451900718,0.08709314594195922,0.00028231630489341435,0.9126245377531473,0.9516528319495875,1.109949697147716,7.409392356872559
15,amc_focal_tversky,1.5788389119234951,0.44707642089236865,0.70818734372204,0.6095378717238252,0.03993565212691796,1.1880620596083729,0.5,0.0,0.85,0.6749550209963884,0.9457567124993854,0.8970953134940727,0.9653840000577023,0.9269116097175066,0.8388262440378585,0.7223951107496503,0.8192466750247837,0.8593646108302949,0.47571200987885925,0.31208801287022714,0.3598019261099645,0.7017950899262972,0.6338448683459581,0.4639625864293644,0.5781861446510886,0.7013609354034622,0.7626377934178437,0.616341592915144,0.6654557432293122,0.8930585840038044,0.6777552289201298,0.5286968257410964,0.6056726222537872,0.7888948050409648,0.6240648905475537,0.05893177225145735,0.058702064411886294,0.00010601900287895013,0.9411919165852347,0.971895179918172,0.9872091954404657,7.454509258270264
