,Background,C1,C2,C3,C4
Background,8203899,303062,95055,99378,39717
C1,310840,1694738,17665,97,778
C2,56931,18984,152067,10761,189
C3,13520,40,17114,257596,26172
C4,5123,323,32,29933,180322
