,Background,C1,C2,C3,C4
Background,8294155,371162,62449,92391,24636
C1,206932,1802701,16569,96,24
C2,33600,9011,129057,9366,16
C3,18300,9,16795,274332,8615
C4,4431,0,0,49598,110091
