epoch,train_loss,selection_score,dice_c0,iou_c0,precision_c0,recall_c0,dice_c1,iou_c1,precision_c1,recall_c1,dice_c2,iou_c2,precision_c2,recall_c2,dice_c3,iou_c3,precision_c3,recall_c3,dice_c4,iou_c4,precision_c4,recall_c4,mean_dice_no_bg,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,minority_dice_c2_c3_c4,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,exact_rate_fg,weighted_kappa_fg,val_loss,epoch_seconds
1,1.859857824715701,0.33018231598634723,0.8962479548736222,0.8120011725740481,0.9451561679215674,0.852152334147333,0.7604230897737145,0.6134537385299464,0.667512674265319,0.8833798379527001,0.12045587333295868,0.06408781343514436,0.10734424217807713,0.13721623860811172,0.5557351666506071,0.3847875776091579,0.5255139212697126,0.5896444280948467,0.17094231671302007,0.09345922672368728,0.1338481116556204,0.23647940531317105,0.4018891116175751,0.288947089074484,0.3585547373421823,0.4616799774922074,0.2823777855655286,0.14332830268098692,0.06792357493340935,0.025758449653293478,0.9063179754132972,0.796715450854235,1.5227409249002284,7.2866246700286865
2,1.4053816849535161,0.43297355077578137,0.899006519521415,0.816541183450633,0.9068637375754116,0.8912842844371814,0.6664456103966477,0.49975135291997574,0.7966668817272144,0.5728146859186222,0.2733267791329425,0.15829676155844366,0.1740869807217008,0.6357304611985288,0.5295187054906461,0.36009890603016964,0.41017144080732576,0.7468204784766987,0.4182511478301335,0.2644232346091925,0.44699489909067647,0.3929807457957352,0.47188556071259247,0.32064256377944533,0.45698005058672936,0.5870865928473962,0.40703221081790736,0.1936392109468255,0.14251480378994044,0.01818052219132263,0.8393046740187369,0.850768462962646,1.5738356574015184,6.9943811893463135
3,1.2916223054582423,0.5535334137633771,0.9053014640454361,0.8269870053822849,0.948630963441978,0.8657572879320061,0.7289775217432872,0.5735362939789436,0.7038147850025513,0.7560062023705968,0.24468021752417116,0.1393935281576196,0.15088038037070486,0.6467605633802459,0.6253558259033256,0.45492196285214553,0.6287535914973483,0.62199458577396,0.7320828285359977,0.5773901048210407,0.6742196116653923,0.8008103826467949,0.5827740984266954,0.43631047245243737,0.5394170921339992,0.7063929335428994,0.5340396239878314,0.13044560015508463,0.13034229832075175,4.835405011325837e-05,0.869609347629135,0.9275078408116596,1.3382543298331173,6.2639124393463135
4,1.252323435788805,0.6132018593017877,0.9329108040653082,0.874257566864546,0.9618201734190303,0.905688578579509,0.8147470049410634,0.6874034559183294,0.7835051922191861,0.8485837887561757,0.46489756597074067,0.3028446543143711,0.33442371903909557,0.7623087544876684,0.6082348062077457,0.43702401017116943,0.5661350005688529,0.657099018710815,0.699291490513785,0.5376235224216439,0.5999668471171997,0.8380270533755277,0.6467927169083336,0.49122391070637844,0.5710076897360836,0.7765046538325467,0.5908079542307572,0.07936048791553907,0.06403132455541884,0.006601567408429395,0.9293671080361517,0.9445173265398014,1.0995147187601437,6.364149332046509
5,1.231911420144818,0.5804442345991523,0.9242431002499234,0.8591560978736429,0.9781835476831883,0.8759406805789567,0.8048365824872717,0.6734113265968505,0.7319455479034072,0.8938510266384074,0.40953388299444327,0.2574929944219695,0.268683246411788,0.8607732670532526,0.6195838808877303,0.44883848595319054,0.5381372626270461,0.7300810247412921,0.6374174906192436,0.46780102212593816,0.7274553013252745,0.5672130148671357,0.6178429592471723,0.46188595727448717,0.566555339566879,0.7629795833250219,0.5555117515004724,0.0895909406973279,0.08879705970000994,0.0003587960663554187,0.9108441442336347,0.9436427296769583,1.1070838529955258,6.560376882553101
6,1.1846171631054445,0.586650330356035,0.9425284325626622,0.891303805781533,0.9558736110263353,0.9295507537598665,0.8295071606167702,0.7086819608856932,0.8510971355528155,0.8089854425900681,0.48973878065715076,0.3242742211643677,0.3443981725728705,0.8473184203258299,0.6321817558049003,0.4621825732240553,0.5265439671089155,0.7908448645028379,0.5570781778524754,0.38607647989089705,0.8232896790875719,0.42096027297097116,0.6271264687328242,0.4703038087912534,0.6363322385805433,0.7170272500974268,0.5596662381048422,0.08527092184335772,0.08506183111529773,9.523801278094132e-05,0.9148429308719214,0.9487456114770645,1.0845912789756602,6.572565078735352
7,1.1788007285107265,0.60845403173702,0.943522603242728,0.8930835682228083,0.9648497199972054,0.9231179293851186,0.8310051860657027,0.7108715762980357,0.8193336137641952,0.8430140915412218,0.47660395401256345,0.31285623674022195,0.34122294555594235,0.7900635183650488,0.6657860140887442,0.4990099197873558,0.5574393179432138,0.8264114874658206,0.6087884090001915,0.43759584303253213,0.8221066158181871,0.4833658298805457,0.6455458907918005,0.49008339396453643,0.6350256232703846,0.7357137318131592,0.5837261257004998,0.0832572144979313,0.08284251490222161,0.00020734979785484928,0.9169501352999235,0.9494505435819434,1.0710105381228707,6.370089769363403
8,1.1440114927562801,0.6174800671474712,0.9368167060467162,0.8811431776390196,0.974053404886466,0.9023221911468128,0.8319125337867493,0.7122005482035301,0.7718714846006475,0.9020821962156019,0.5349699683130127,0.3651597282937557,0.41584919764469613,0.7497321181993509,0.649121115339199,0.4805176264948357,0.5184701650245513,0.8678010759280471,0.5968716289104423,0.4253863304374349,0.7281540621160969,0.505697050938307,0.653218811587351,0.49581605835738907,0.6085862273464979,0.7563281103203268,0.5936542375208848,0.06390033553348451,0.0611102117078618,0.001185328252355416,0.9377044600397828,0.9588549567010217,1.0509822070598602,6.188605785369873
9,1.148344218053601,0.6052937420291922,0.9399402153601801,0.8866860425985758,0.9684526168666423,0.913058677574477,0.8441432997927539,0.7303182995274402,0.8061726299224445,0.8858675965616477,0.5885880110751819,0.4170206967871621,0.531586659006572,0.6592819663076134,0.59949246623044,0.4280537246499958,0.44845163836361035,0.9039462224611492,0.548184229527434,0.3775852561162082,0.7100807350474708,0.4464050694613425,0.6451020016564525,0.48824449427020156,0.6240729155850244,0.7238752136979382,0.5787549022776853,0.06254592571192838,0.062155235191160174,0.00019534526038410483,0.9376494195484557,0.9623006048628704,1.0418069023977627,6.793865919113159
10,1.1141379489140077,0.6534556757981771,0.9480944188571967,0.9013113304591229,0.9589991010776417,0.9374349405350686,0.8394291847641164,0.7232899309065464,0.8152170020894032,0.8651236081925732,0.5601342475199438,0.3890183835230169,0.46298447375254453,0.708881524440723,0.629161133244787,0.45896067619822933,0.7610270002543065,0.5362441872529708,0.7090804769744871,0.5492832545537956,0.6003252513305483,0.8659578357299008,0.6844512606258336,0.530138061295397,0.6598884318567007,0.744051788904042,0.6327919525797393,0.0608752777774209,0.06010698686496623,0.00028436185388511524,0.9396086512811487,0.9657042417114161,1.0539123497226022,6.592255115509033
11,1.142533166842027,0.692232437725808,0.9476242884102304,0.9004619528691931,0.9484805361702175,0.9467695852237572,0.8254034133268419,0.7027122526080672,0.8640482160764105,0.7900674226504929,0.6007426682093052,0.4293296554969678,0.5125598926224575,0.7255730461198163,0.7061295273895813,0.5457497812473809,0.6306951353382559,0.8020600469735734,0.7254347923781927,0.5691625567998762,0.672907374213146,0.786857177674824,0.7144276003259803,0.561738561538073,0.6700526545625676,0.7761394233546767,0.6774356626590264,0.05299044250512153,0.0527693823651287,0.00010381771756747928,0.9471267999173039,0.9716295592577335,1.0012586143883793,6.607960939407349
12,1.1269440603527157,0.6531547189773528,0.9485857237170175,0.9021997752118319,0.9640615585209777,0.9335988982444238,0.8356435960383645,0.7176871215678893,0.7985326308859759,0.8763720672232701,0.497384371982155,0.3310123778216475,0.39600837586702015,0.6685225075945501,0.656652482471022,0.4888180265363516,0.7545190741866583,0.5812589804779553,0.7445976767918775,0.5931147832266972,0.6864107915813796,0.8135632464050199,0.6835695318208548,0.5326580772881464,0.6588677181302585,0.7349292004251988,0.6328781770816848,0.07114693211079896,0.06911142750257272,0.000787246522364729,0.9301013259750626,0.9566955431855889,1.0340304645625027,6.581781625747681
