,Background,C1,C2,C3,C4
Background,8164740,462691,59345,84915,40540
C1,150267,1834538,20304,66,352
C2,40429,12211,136270,10455,1
C3,15282,65,21557,240371,20394
C4,5132,131,56,41895,172329
