fold,unet_mean_dice_no_bg,resunetds_mean_dice_no_bg,proposed_mean_dice_no_bg,delta_proposed_vs_resunetds_mean_dice_no_bg,delta_proposed_vs_unet_mean_dice_no_bg,unet_minority_dice_c2_c3_c4,resunetds_minority_dice_c2_c3_c4,proposed_minority_dice_c2_c3_c4,delta_proposed_vs_resunetds_minority_dice_c2_c3_c4,delta_proposed_vs_unet_minority_dice_c2_c3_c4,unet_mean_iou_no_bg,resunetds_mean_iou_no_bg,proposed_mean_iou_no_bg,delta_proposed_vs_resunetds_mean_iou_no_bg,delta_proposed_vs_unet_mean_iou_no_bg,unet_weighted_kappa_fg,resunetds_weighted_kappa_fg,proposed_weighted_kappa_fg,delta_proposed_vs_resunetds_weighted_kappa_fg,delta_proposed_vs_unet_weighted_kappa_fg,unet_ordinal_mae_fg,resunetds_ordinal_mae_fg,proposed_ordinal_mae_fg,delta_proposed_vs_resunetds_ordinal_mae_fg,delta_proposed_vs_unet_ordinal_mae_fg,unet_adjacent_error_rate_fg,resunetds_adjacent_error_rate_fg,proposed_adjacent_error_rate_fg,delta_proposed_vs_resunetds_adjacent_error_rate_fg,delta_proposed_vs_unet_adjacent_error_rate_fg,unet_distant_error_rate_fg,resunetds_distant_error_rate_fg,proposed_distant_error_rate_fg,delta_proposed_vs_resunetds_distant_error_rate_fg,delta_proposed_vs_unet_distant_error_rate_fg,unet_dice_c1,resunetds_dice_c1,proposed_dice_c1,delta_proposed_vs_resunetds_dice_c1,delta_proposed_vs_unet_dice_c1,unet_dice_c2,resunetds_dice_c2,proposed_dice_c2,delta_proposed_vs_resunetds_dice_c2,delta_proposed_vs_unet_dice_c2,unet_dice_c3,resunetds_dice_c3,proposed_dice_c3,delta_proposed_vs_resunetds_dice_c3,delta_proposed_vs_unet_dice_c3,unet_dice_c4,resunetds_dice_c4,proposed_dice_c4,delta_proposed_vs_resunetds_dice_c4,delta_proposed_vs_unet_dice_c4
0,0.7140783866360665,0.7366171817456266,0.7499624834484098,0.013345301702783141,0.03588409681234328,0.6682377855482429,0.6987311820613359,0.7155270172704324,0.016795835209096555,0.04728923172218957,0.5661108058807126,0.5897624652828315,0.6062222217852435,0.01645975650241205,0.040111415904530934,0.9705285848711548,0.972761724463079,0.9727711955413642,9.471078285194778e-06,0.0022426106702093662,0.056486382617289055,0.051231085685156684,0.05240366773966574,0.0011725820545090554,-0.0040827148776233155,0.055736320448519415,0.0505042821670294,0.0520480785255537,0.0015437963585243006,-0.0036882419229657126,0.0002728966771196321,0.0002672247455689876,0.0001316555143971868,-0.00013556923117180082,-0.00014124116272244528,0.8516001898995373,0.8502751807984985,0.8532688819823417,0.0029937011838432337,0.0016686920828044016,0.5544198660903362,0.6238069297639123,0.639301420571379,0.015494490807466677,0.08488155448104273,0.6950829626705829,0.7118191334836599,0.7256231117824659,0.013803978298805974,0.030540149111882964,0.7552105278838095,0.760567482936436,0.7816565194574525,0.02108903652101657,0.026445991573643024
1,0.7312677038565782,0.7463260278359974,0.7512709500571829,0.004944922221185477,0.020003246200604674,0.6954514084825608,0.7115978662649045,0.7155811416408201,0.003983275375915585,0.020129733158259278,0.5848250775663104,0.6033068879222163,0.6092959968085363,0.005989108886319983,0.024470919242225886,0.9729276066874254,0.9729857803408628,0.9741840796249646,0.001198299284101756,0.0012564729375391659,0.0517896918370408,0.05036975002858494,0.04955638388617703,-0.0008133661424079078,-0.0022333079508637665,0.050119847383114,0.04956628151682494,0.048728143486965164,-0.0008381380298597765,-0.0013917038961488368,0.000606196331992832,0.0003167520094438453,0.0003138381512699889,-2.913858173856363e-06,-0.0002923581807228431,0.8387165899786309,0.8505105125492763,0.8583403753062716,0.007829862756995265,0.019623785327640753,0.5839017787718395,0.6038597657683759,0.6167947061591974,0.012934940390821548,0.03289292738735794,0.7233739629068413,0.7471619490896875,0.7477205721975725,0.0005586231078850146,0.02434660929073118,0.7790784837690014,0.7837718839366503,0.7822281465656903,-0.00154373737096003,0.0031496627966889346
2,0.7345574448913874,0.7424401957669257,0.7536988505891876,0.01125865482226196,0.019141405697800207,0.6962520186086962,0.7047778481951309,0.7167792718138055,0.012001423618674623,0.020527253205109286,0.5878402816737212,0.598412994078894,0.6127746711718689,0.014361677092974867,0.024934389498147747,0.9728027844041481,0.9721619185963475,0.9727793580853773,0.000617439489029814,-2.342631877083612e-05,0.04767052736030596,0.04739197242879888,0.04632119025489073,-0.001070782173908151,-0.0013493371054152312,0.04745318758310937,0.047184711959564356,0.04625638172785974,-0.0009283302317046188,-0.0011968058552496302,7.67317882524034e-05,9.092461198219624e-05,2.4957320968456764e-05,-6.596729101373947e-05,-5.177446728394663e-05,0.8494737237394612,0.8554272384823101,0.864457586915334,0.009030348433023971,0.014983863175872858,0.605593214937685,0.6027970411465418,0.6157402679795373,0.012943226832995536,0.010147053041852261,0.7334747629970179,0.7578069447316649,0.7742764713562332,0.016469526624568354,0.04080170835921537,0.7496880778913857,0.7537295587071858,0.760321076105646,0.0065915173984602005,0.010632998214260336
3,0.7286175534419901,0.7327728814092218,0.724389523791078,-0.008383357618143794,-0.0042280296509120685,0.6869881998361679,0.6926030112964224,0.6795853385894627,-0.013017672706959749,-0.007402861246705195,0.5843895317058598,0.5898350296786015,0.5765573991165136,-0.013277630562087861,-0.00783213258934623,0.9769000653808364,0.9775196181900567,0.9739758804445516,-0.0035437377455050934,-0.0029241849362847683,0.04475169268681042,0.04379034955055995,0.04933943176098247,0.0055490822104225165,0.004587739074172051,0.04382140367436212,0.04359807363815005,0.049137138067825506,0.005539064429675458,0.005315734393463389,0.00035814130650906853,9.594215588681489e-05,9.916357507694102e-05,3.2214191901261348e-06,-0.0002589777314321275,0.8535056142594569,0.8532824917476204,0.8588020793959238,0.005519587648303403,0.005296465136466866,0.5571099997889698,0.557114989555801,0.5944198071577712,0.03730481760197024,0.037309807368801406,0.7202845277512641,0.7264801542440772,0.7062956177658203,-0.02018453647825691,-0.013988909985443776,0.7835700719682694,0.7942138900893888,0.7380405908447967,-0.056173299244592134,-0.04552948112347277
4,0.7067576587939481,0.7249880248442069,0.7238779332367109,-0.0011100916074959777,0.017120274442762762,0.6627500989740693,0.6821103105851926,0.6805074318007699,-0.0016028787844226677,0.017757332826700556,0.5568223029452904,0.578769019294731,0.5771866943266696,-0.0015823249680614326,0.020364391381379132,0.9730246062329397,0.972043508072731,0.9719794842450873,-6.402382764369996e-05,-0.0010451219878524487,0.04831047045173489,0.04824493878811131,0.047406040494034435,-0.0008388982940768785,-0.0009044299577004519,0.04748184201193937,0.04720553004551079,0.04644730348555623,-0.0007582265599545626,-0.00103453852638314,0.00037155890228651967,0.0004630908073420054,0.0004094819459041148,-5.3608861437890603e-05,3.792304361759514e-05,0.8387803382535847,0.8536211676212498,0.8539894375445338,0.00036826992328398145,0.015209099290949157,0.5414966803857199,0.5640287688904594,0.5665487300702383,0.002519961179778929,0.025052049684518463,0.7084661224133318,0.732203711914855,0.7327570468818349,0.000553334966979846,0.024290924468503006,0.7382874941231564,0.7500984509502631,0.7422165184502365,-0.007881932500026556,0.003929024327080088
