run,fold,metrics_path,selection_score,mean_dice_no_bg,minority_dice_c2_c3_c4,mean_iou_no_bg,macro_precision_no_bg,macro_recall_no_bg,dice_c1,dice_c2,dice_c3,dice_c4,iou_c1,iou_c2,iou_c3,iou_c4,weighted_kappa_fg,ordinal_mae_fg,adjacent_error_rate_fg,distant_error_rate_fg,val_loss
ResUNet-DS,3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/resunetds_baseline/resunetds_baseline_fullval_fold3_aug-full_base32_crop320/best_metrics.json,0.7086709593415421,0.7327728814092218,0.6926030112964224,0.5898350296786015,0.6769983177883462,0.8045624303554432,0.8532824917476204,0.557114989555801,0.7264801542440772,0.7942138900893888,0.7441087151865677,0.38611184226266965,0.5704505953834278,0.6586689658817404,0.9775196181900567,0.04379034955055995,0.04359807363815005,9.594215588681489e-05,0.9137837046926672
ResUNet-DS,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/resunetds_baseline/resunetds_baseline_fullval_fold4_aug-full_base32_crop320/best_metrics.json,0.6992613962887982,0.7249880248442069,0.6821103105851926,0.578769019294731,0.669547523810719,0.7928572617496941,0.8536211676212498,0.5640287688904594,0.732203711914855,0.7500984509502631,0.744623979012222,0.3927855632975654,0.5775405077268063,0.6001260271423303,0.972043508072731,0.04824493878811131,0.04720553004551079,0.0004630908073420054,0.9236536540768363
Original proposed,3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold3_aug-full_base32_crop320_ord0.1_ft0.5/best_metrics.json,0.7224656483354562,0.724389523791078,0.6795853385894627,0.5765573991165136,0.6787555647664634,0.7852923444596855,0.8588020793959238,0.5944198071577712,0.7062956177658203,0.7380405908447967,0.7525443780526079,0.42289995987763085,0.5459482301096281,0.5848370284261877,0.9739758804445516,0.04933943176098247,0.049137138067825506,9.916357507694102e-05,0.9191760827194561
Original proposed,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold4_aug-full_base32_crop320_ord0.1_ft0.5/best_metrics.json,0.7226657874759839,0.7238779332367109,0.6805074318007699,0.5771866943266696,0.6794181607746614,0.775862472331338,0.8539894375445338,0.5665487300702383,0.7327570468818349,0.7422165184502365,0.7451846130586776,0.3952340354743966,0.578229332488155,0.5900987962854488,0.9719794842450873,0.047406040494034435,0.04644730348555623,0.0004094819459041148,0.9368189857764677
C4-protective proposed,3,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold3_aug-full_base32_crop320_ord0.1_ft0.5_amcmax0.85_gain0.2_target0.7_c4protect_c2b1.0_c3b1.0_c4b1.75_scorec40.2/best_metrics.json,0.7183908748353485,0.7351081808910622,0.6953515823084023,0.5921611515420105,0.6791645656915017,0.8050105030909466,0.8543779766390419,0.573219531871885,0.7094385109490507,0.8033967041042712,0.7457764945304721,0.40175734436842175,0.5497130644048246,0.6713977028643239,0.979045838678975,0.042214559990595264,0.04211299521326004,4.798335937097015e-05,0.9182945923371748
C4-protective proposed,4,/home/ubuntu/storage3/ER Segmentation/ER_IHC_Q1/outputs/metrics/proposed_amc_ordinal/proposed_amc_ordinal_fullval_fold4_aug-full_base32_crop320_ord0.1_ft0.5_amcmax0.85_gain0.2_target0.7_c4protect_c2b1.0_c3b1.0_c4b1.75_scorec40.2/best_metrics.json,0.7025483214694153,0.7221328300999224,0.6783341558823813,0.5790153965978022,0.666643486846362,0.8145266019672252,0.8535288527525455,0.5215856757359484,0.7297690991311129,0.7836476927800828,0.7444835003495469,0.3528007454849245,0.5745168840026821,0.6442604565540557,0.9675284816341306,0.05601870255894955,0.0554660824293736,0.00023876128198074728,0.9160656603899869
