run,num_folds,selection_score_mean,selection_score_std,selection_score_mean_sd,mean_dice_no_bg_mean,mean_dice_no_bg_std,mean_dice_no_bg_mean_sd,minority_dice_c2_c3_c4_mean,minority_dice_c2_c3_c4_std,minority_dice_c2_c3_c4_mean_sd,mean_iou_no_bg_mean,mean_iou_no_bg_std,mean_iou_no_bg_mean_sd,dice_c1_mean,dice_c1_std,dice_c1_mean_sd,dice_c2_mean,dice_c2_std,dice_c2_mean_sd,dice_c3_mean,dice_c3_std,dice_c3_mean_sd,dice_c4_mean,dice_c4_std,dice_c4_mean_sd,weighted_kappa_fg_mean,weighted_kappa_fg_std,weighted_kappa_fg_mean_sd,ordinal_mae_fg_mean,ordinal_mae_fg_std,ordinal_mae_fg_mean_sd,adjacent_error_rate_fg_mean,adjacent_error_rate_fg_std,adjacent_error_rate_fg_mean_sd,distant_error_rate_fg_mean,distant_error_rate_fg_std,distant_error_rate_fg_mean_sd,val_loss_mean,val_loss_std,val_loss_mean_sd
ResUNet-DS,2,0.7065734891119253,0.010340860839797182,0.7066 ± 0.0103,0.7308026032949168,0.008223055704476241,0.7308 ± 0.0082,0.6904207463232642,0.01175273093001101,0.6904 ± 0.0118,0.5842657422887813,0.007773540206793895,0.5843 ± 0.0078,0.8519481742098742,0.002365969972128299,0.8519 ± 0.0024,0.5939178493271858,0.04226954292047889,0.5939 ± 0.0423,0.7220114226992574,0.014414073640327105,0.7220 ± 0.0144,0.7553329669433495,0.007402723509881716,0.7553 ± 0.0074,0.9724026162679049,0.000507855679974374,0.9724 ± 0.0005,0.049738012236634,0.0021115247205199484,0.0497 ± 0.0021,0.04885490610627009,0.0023325699945793187,0.0489 ± 0.0023,0.00036515777645549654,0.0001384982204840041,0.0004 ± 0.0001,0.9348714216188951,0.01586431899752822,0.9349 ± 0.0159
Original proposed,2,0.7371239312134513,0.020446902960266106,0.7371 ± 0.0204,0.7369202083425603,0.018444562338893262,0.7369 ± 0.0184,0.6980172245356011,0.024762586359940275,0.6980 ± 0.0248,0.5917044580559565,0.02053121836128585,0.5917 ± 0.0205,0.8536291597634378,0.0005095097242477064,0.8536 ± 0.0005,0.6029250753208086,0.05144392080292267,0.6029 ± 0.0514,0.7291900793321504,0.005044453885308542,0.7292 ± 0.0050,0.7619365189538445,0.027888292162206705,0.7619 ± 0.0279,0.9723753398932258,0.0005598244263393628,0.9724 ± 0.0006,0.049904854116850084,0.003533856115228543,0.0499 ± 0.0035,0.04924769100555497,0.00396034601068257,0.0492 ± 0.0040,0.00027056873015065077,0.00019645295371140868,0.0003 ± 0.0002,0.9270216663452712,0.013855502014499617,0.9270 ± 0.0139
T1 ord0.05_ft0.25_amc0.65,2,0.7340143407925226,0.0019967989649663244,0.7340 ± 0.0020,0.7336286917819896,0.0005781573335199063,0.7336 ± 0.0006,0.6944176557533162,0.003435861183557692,0.6944 ± 0.0034,0.5890716743672301,0.0033026052047879476,0.5891 ± 0.0033,0.8512617998680103,0.012620212884753094,0.8513 ± 0.0126,0.5765294958240149,0.02865602793756804,0.5765 ± 0.0287,0.7322705071283497,0.02370281117380872,0.7323 ± 0.0237,0.7744529643075839,0.00535436678691407,0.7745 ± 0.0054,0.9727513980593596,0.0010872945488765741,0.9728 ± 0.0011,0.04928017903651201,0.0017303924250806307,0.0493 ± 0.0017,0.04864409841103798,0.0017361932166352035,0.0486 ± 0.0017,0.0002668302889952531,2.424652838362542e-05,0.0003 ± 0.0000,0.9356417953968048,0.045864782942370605,0.9356 ± 0.0459
T2 ord0.05_ft0.00_amc0.65,2,0.7263305886191329,0.004005861474294901,0.7263 ± 0.0040,0.7272357314374678,0.001969017760796437,0.7272 ± 0.0020,0.6851776615582688,0.0053499812577097,0.6852 ± 0.0053,0.5818265922983109,0.0006976378808795133,0.5818 ± 0.0007,0.8534099410750646,0.00817387272994288,0.8534 ± 0.0082,0.5641332516226458,0.03733867947302443,0.5641 ± 0.0373,0.7318910569993183,0.019343004217056536,0.7319 ± 0.0193,0.759508676052842,0.0019457314828391122,0.7595 ± 0.0019,0.9705327225293139,0.002051673914301819,0.9705 ± 0.0021,0.052674412815213026,0.0003418687976907368,0.0527 ± 0.0003,0.05211680422660603,0.0003741781637325969,0.0521 ± 0.0004,0.00023137641527541875,4.987735745317585e-06,0.0002 ± 0.0000,0.9395968429744244,0.05038060079983148,0.9396 ± 0.0504
