run,delta_mean_dice_vs_resunet,delta_minority_dice_vs_resunet,delta_mean_iou_vs_resunet,delta_dice_c2_vs_resunet,delta_dice_c4_vs_resunet,delta_ordinal_mae_vs_resunet,delta_kappa_vs_resunet
Original proposed,0.006117605047643582,0.007596478212336888,0.007438715767175252,0.009007225993622803,0.006603552010495006,0.00016684188021608148,-2.727637467914157e-05
T1 ord0.05_ft0.25_amc0.65,0.0028260884870728864,0.0039969094300519314,0.004805932078448816,-0.017388353503170917,0.01911999736423442,-0.00045783320012199313,0.0003487817914546998
T2 ord0.05_ft0.00_amc0.65,-0.003566871857448972,-0.005243084764995465,-0.002439149990470346,-0.029784597704540006,0.004175709109492498,0.0029364005785790237,-0.001869893738591033
