run,delta_mean_dice_vs_resunet,delta_minority_dice_vs_resunet,delta_mean_iou_vs_resunet,delta_precision_vs_resunet,delta_recall_vs_resunet,delta_dice_c1_vs_resunet,delta_dice_c2_vs_resunet,delta_dice_c3_vs_resunet,delta_dice_c4_vs_resunet,delta_ordinal_mae_vs_resunet,delta_kappa_vs_resunet
Original proposed ord0.10_ft0.50_amc0.85,0.006117605047643582,0.007596478212336888,0.007438715767175252,0.009089920449678046,0.0021068204261883716,0.001680985553563552,0.009007225993622803,0.007178656632892966,0.006603552010495006,0.00016684188021608148,-2.727637467914157e-05
T1 ord0.05_ft0.25_amc0.65,0.0028260884870728864,0.0039969094300519314,0.004805932078448816,0.013378779578855804,-0.0034814688848915365,-0.0006863743418639157,-0.017388353503170917,0.010259084429092291,0.01911999736423442,-0.00045783320012199313,0.0003487817914546998
T2 ord0.05_ft0.00_amc0.65,-0.003566871857448972,-0.005243084764995465,-0.002439149990470346,0.009773249609758006,-0.004522446364234489,0.0014617668651903948,-0.029784597704540006,0.009879634300060891,0.004175709109492498,0.0029364005785790237,-0.001869893738591033
T3 ord0.05_ft0.50_amc0.65,0.002879127314806884,0.003977744470730182,0.003442511576116636,0.001729089310908205,0.0061812010918541604,-0.0004167241529630106,0.0016184420139598865,0.004593744530022037,0.0057210468682087345,-0.0008932388714367745,0.0007154515922140892
T4 ord0.10_ft0.50_amc0.65,-0.0007973179285878373,-0.000643588129798589,0.0005298640784874298,0.0005359293964152245,0.004907960087895402,-0.0012585073249554712,-0.023214299734228394,0.006590232678017727,0.01469330266681479,-0.001352227812062845,0.0011799023110684592
